Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.19222,22.31631,819702,837850,3785219705T20050430,旭日街變電站,九龍城區,九龍,,,,,,,,,,,,,,,,旭日街,22,,YUK YAT STREET SUBSTATION,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,YUK YAT STREET,22,,3785219705T20050430
Point,114.19233,22.33006,821225,837861,3786021224T20050430,,九龍城區,九龍,,,,,,,,,,,,,,,,啓德道,66,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,KAI TAK ROAD,66,,3786021224T20050430
Point,114.18928,22.31624,819694,837546,3754619694T20050430,,九龍城區,九龍,,,,,,,,,,,,,,,,土瓜灣道,72,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,TO KWA WAN ROAD,72,,3754619694T20050430
Point,114.17772,22.33704,821998,836355,3635022013T20050430,,九龍城區,九龍,,,,,,,,,,,,,,,,沙福道,7,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,SUFFOLK ROAD,7,,3635521997T20050430
Point,114.18104,22.34181,822525,836697,3669822522T20050430,香港電台廣播大廈,九龍城區,九龍,,,,,,,,,,,,,,,,廣播道,30,,RADIO TELEVISION HONG KONG BROADCASTING HOUSE,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,BROADCAST DRIVE,30,,3669822522T20050430
Point,114.18216,22.32977,821192,836812,3681521193T20050430,琥珀樓,九龍城區,九龍,,,,,,,,喇沙利道１８Ａ,,,,,,,,喇沙利道,18A,,AMBER HOUSE,KOWLOON CITY DISTRICT,KLN,,,,,,,,,18A LA SALLE ROAD,,,,,,,,LA SALLE ROAD,18A,,3681521193T20050430
Point,114.17957,22.33946,822266,836545,3654622267T20050430,,九龍城區,九龍,,,,,,,,,,,,,,,,金城道,1,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,KAM SHING ROAD,1,,3654622267T20050430
Point,114.18229,22.32978,821193,836826,3682621195T20050430,珍珠樓,九龍城區,九龍,,,,,,,,喇沙利道１８Ａ,,,,,,,,喇沙利道,18A,,PEARL HOUSE,KOWLOON CITY DISTRICT,KLN,,,,,,,,,18A LA SALLE ROAD,,,,,,,,LA SALLE ROAD,18A,,3682621195T20050430
Point,114.18114,22.33068,821293,836707,3670621292T20050430,,九龍城區,九龍,,,,,,,,,,,,,,,,牛津道,4,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,OXFORD ROAD,4,,3670621292T20050430
Point,114.18796,22.31419,819467,837410,3741019468T20050430,,九龍城區,九龍,,,,,,,,,,,,,,,,土瓜灣道,7,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,TO KWA WAN ROAD,7,,3741019468T20050430
Point,114.18386,22.32495,820658,836988,3699020662T20050430,,九龍城區,九龍,,,,,,,,亞皆老街賽馬會學童牙科診所,,,,,,,,亞皆老街,147J,,,KOWLOON CITY DISTRICT,KLN,,,,,,,,,ARGYLE STREET JOCKEY CLUB SCHOOL DENTAL CLINIC,,,,,,,,ARGYLE STREET,147J,,3699020662T20050430
Point,114.18463,22.31962,820068,837067,3706020061T20050430,常盛街變電站,九龍城區,九龍,,,,,,,,,,,,,,,,常盛街,69,,SHEUNG SHING STREET SUBSTATION,KOWLOON CITY DISTRICT,KLN,,,,,,,,,,,,,,,,,SHEUNG SHING STREET,69,,3706020061T20050430
