Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.23747,22.28879,816656,842512,4251416656T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,51,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,51,,,,,,4251416656T20050430
Point,114.22766,22.3021,818129,841501,4150118129T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,114,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,114,,,,,,4150118129T20050430
Point,114.22779,22.30214,818134,841514,4151518135T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,157,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,157,,,,,,4151518135T20050430
Point,114.22763,22.30225,818146,841498,4150118147T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,120,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,120,,,,,,4150118147T20050430
Point,114.22768,22.30274,818200,841503,4150318201T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,147A,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,147A,,,,,,4150318201T20050430
Point,114.23804,22.28998,816788,842571,4257116788T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,33,35,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,33,35,,,,,4257116788T20050430
Point,114.22808,22.30233,818155,841545,4154518155T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,151,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,151,,,,,,4154518155T20050430
Point,114.21239,22.31623,819693,839927,3992419695T20050430,,觀塘區,九龍,,,,,,,,,,,,,,,,啓興道,2,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,KAI HING ROAD,2,,3992419695T20050430
Point,114.21226,22.32003,820114,839913,3991220122T20050430,牛頭角救護站,觀塘區,九龍,,,,,,,,牛頭角救護站,,,,,,,,兆業街,9,,NGAU TAU KOK AMBULANCE DEPOT,KWUN TONG DISTRICT,KLN,,,,,,,,,NGAU TAU KOK AMBULANCE DEPOT,,,,,,,,SIU YIP STREET,9,,3991220122T20050430
Point,114.23856,22.29081,816879,842624,4262716880T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,24,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,24,,,,,,4262716880T20050430
Point,114.22754,22.30233,818155,841489,4148718153T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,126,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,126,,,,,,4148718153T20050430
Point,114.22148,22.31017,819023,840864,4086519024T20081106,,觀塘區,九龍,,,,,,,,,,,,,,,,偉業街,199,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,WAI YIP STREET,199,,4086519024T20081106
Point,114.23842,22.28772,816537,842610,4261016537T20050430,,觀塘區,九龍,,,,,,,,,,,,媽山村,31B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,MA SAN TSUEN,31B,,,,,,4261016537T20050430
Point,114.22839,22.30131,818042,841576,4157618042T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,72,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,72,,,,,,4157618042T20050430
Point,114.22556,22.32386,820539,841283,4128420538T20050430,協和街變電站,觀塘區,九龍,,,,,,,,協和街變電站,,,,,,,,協和街,333,,HIP WO STREET SUBSTATION,KWUN TONG DISTRICT,KLN,,,,,,,,,HIP WO STREET SUBSTATION,,,,,,,,HIP WO STREET,333,,4128420538T20050430
Point,114.22767,22.30215,818135,841502,4150318135T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,116,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,116,,,,,,4150318135T20050430
Point,114.22783,22.30215,818134,841518,4151818132T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,159,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,159,,,,,,4151818132T20050430
Point,114.23845,22.29013,816804,842613,4261416805T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,27,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,27,,,,,,4261416805T20050430
Point,114.23801,22.29012,816803,842568,4257116803T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,21,23,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,21,23,,,,,4257116803T20050430
Point,114.22763,22.3025,818173,841497,4149818173T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,139,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,139,,,,,,4149818173T20050430
Point,114.22494,22.32164,820293,841220,4122020291T20050430,,觀塘區,九龍,,,,,,,,秀茂坪警署,,,,,,,,康寧道,200,,,KWUN TONG DISTRICT,KLN,,,,,,,,,SAU MAU PING POLICE STATION,,,,,,,,HONG NING ROAD,200,,4122020291T20050430
Point,114.21338,22.31796,819885,840029,4003119885T20050430,水務署九龍東區大樓,觀塘區,九龍,,,,,,,,,,,,,,,,大業里,11,,WATER SUPPLIES DEPARTMENT KOWLOON EAST REGIONAL BUILDING,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,TAI YIP LANE,11,,4003119885T20050430
Point,114.22784,22.30226,818147,841519,4152018146T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,144,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,144,,,,,,4152018146T20050430
Point,114.22775,22.30226,818147,841510,4151018148T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,142,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,142,,,,,,4151018148T20050430
Point,114.22182,22.31507,819565,840898,4090019564T20050430,,觀塘區,九龍,,,,,,,,官塘立成大廈,,,,,,,,牛頭角道,311,,,KWUN TONG DISTRICT,KLN,,,,,,,,,KWUN TONG LAP SHING BUILDING,,,,,,,,NGAU TAU KOK ROAD,311,,4090019564T20050430
Point,114.22203,22.31507,819565,840920,4092019564T20050430,,觀塘區,九龍,,,,,,,,官塘立成大廈,,,,,,,,牛頭角道,319,,,KWUN TONG DISTRICT,KLN,,,,,,,,,KWUN TONG LAP SHING BUILDING,,,,,,,,NGAU TAU KOK ROAD,319,,4092019564T20050430
Point,114.23723,22.28881,816657,842488,4248916658T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,55,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,55,,,,,,4248916658T20050430
Point,114.22007,22.31864,819961,840719,4072319968T20050430,,觀塘區,九龍,,,,,,,,金豪閣,,,,,,,,康利道,25,,,KWUN TONG DISTRICT,KLN,,,,,,,,,PANORAMA COURT,,,,,,,,HONG LEE ROAD,25,,4072319968T20050430
Point,114.22723,22.31504,819562,841457,4147019565T20050430,,觀塘區,九龍,,,,,,,,月華樓,,,,,,,,月華街,53,,,KWUN TONG DISTRICT,KLN,,,,,,,,,YUET WAH MANSION,,,,,,,,YUET WAH STREET,53,,4147019565T20050430
Point,114.23904,22.28742,816504,842674,4267416505T20050430,,觀塘區,九龍,,,,,,,,,,,,媽山村,1C,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,MA SAN TSUEN,1C,,,,,,4267416505T20050430
Point,114.21801,22.31809,819899,840506,4051519858T20050430,,觀塘區,九龍,,,,,,,,花園大廈,,,,,,,,牛頭角道,225,,,KWUN TONG DISTRICT,KLN,,,,,,,,,GARDEN ESTATE,,,,,,,,NGAU TAU KOK ROAD,225,,4051519858T20050430
Point,114.20885,22.33102,821331,839562,3956221331T20050430,,觀塘區,九龍,,,,,,,,明愛向晴軒,,,,,,,,觀塘道,50,,,KWUN TONG DISTRICT,KLN,,,,,,,,,CARITAS FAMILY CRISIS SUPPORT CENTRE,,,,,,,,KWUN TONG ROAD,50,,3956221331T20050430
Point,114.23874,22.2873,816491,842643,4264516493T20050430,,觀塘區,九龍,,,,,,,,,,,,媽山村,3,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,MA SAN TSUEN,3,,,,,,4264516493T20050430
Point,114.22758,22.30375,818312,841493,4149318312T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,245,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,245,,,,,,4149318312T20050430
Point,114.2381,22.2882,816590,842577,4257816590T20050430,,觀塘區,九龍,,,,,,,,,,,,媽山村,3A,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,MA SAN TSUEN,3A,,,,,,4257816590T20050430
Point,114.22742,22.30225,818146,841477,4147618145T20050430,鄰舍輔導會茶果嶺中心,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,123,,,,,,THE NEIGHBOURHOOD ADVICE - ACTION COUNCIL CHA KWOLING LING CENTRE,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,123,,,,,,4147618145T20050430
Point,114.22441,22.30751,818728,841166,4116618728T20230829,,觀塘區,九龍,,,,,,,,,,,,,,,,敬業街,41,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,KING YIP STREET,41,,4116618728T20230829
Point,114.22902,22.30059,817962,841641,4164217963T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,39M,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,39M,,,,,,4164217963T20050430
Point,114.22466,22.31676,819752,841192,4117419761T20050430,,觀塘區,九龍,,,,,,,,,,,,,,,,瑞寧街,20,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,SHUI NING STREET,20,,4117419761T20050430
Point,114.23891,22.28699,816456,842661,4266216456T20050430,,觀塘區,九龍,,,,,,,,,,,,媽山村,79B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,MA SAN TSUEN,79B,,,,,,4266216456T20050430
Point,114.22924,22.30035,817936,841664,4166417937T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,28B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,28B,,,,,,4166417937T20050430
Point,114.22272,22.33133,821366,840991,4099021366T20050430,,觀塘區,九龍,,,,,,,,,,,,,,,,利安道,33,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,LEE ON ROAD,33,,4099021366T20050430
Point,114.23821,22.29027,816820,842589,4258716822T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,11,13,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,11,13,,,,,4258716822T20050430
Point,114.23857,22.29028,816821,842625,4262516822T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,21B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,21B,,,,,,4262516822T20050430
Point,114.23872,22.2903,816823,842641,4264216822T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,3,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,3,,,,,,4264216822T20050430
Point,114.22949,22.31256,819288,841689,4168819287T20050430,香港歷史檔案大樓,觀塘區,九龍,,,,,,,,,,,,,,,,翠屏道,13,,HONG KONG PUBLIC RECORDS BUILDING,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,TSUI PING ROAD,13,,4168819287T20050430
Point,114.22765,22.30222,818143,841500,4150218144T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,118,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,118,,,,,,4150218144T20050430
Point,114.22745,22.30221,818142,841480,4147818141T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,121,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,121,,,,,,4147818141T20050430
Point,114.21783,22.31389,819434,840488,4048619435T20050430,１３３偉業街,觀塘區,九龍,,,,,,,,,,,,,,,,偉業街,133,,133 WAI YIP STREET,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,WAI YIP STREET,133,,4048619435T20050430
Point,114.22344,22.33054,821279,841065,4105121293T20050430,,觀塘區,九龍,,,,,,,,基督教中國佈道會聖道迦南書院,,,,,,,,利安里,6,,,KWUN TONG DISTRICT,KLN,,,,,,,,,SAINT TOO CANAAN COLLEGE,,,,,,,,LEE ON LANE,6,,4105121293T20050430
Point,114.22058,22.31791,819880,840771,4077219884T20050430,,觀塘區,九龍,,,,,,,,南康大廈,,,,,,,,康利道,23,,,KWUN TONG DISTRICT,KLN,,,,,,,,,NAM HONG BUILDING,,,,,,,,HONG LEE ROAD,23,,4077219884T20050430
Point,114.22701,22.30969,818970,841433,4143318970T20050430,成業街變電站,觀塘區,九龍,,,,,,,,,,,,,,,,成業街,25,,SHING YIP STREET CLP SUBSTATION,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,SHING YIP STREET,25,,4143318970T20050430
Point,114.22786,22.30237,818159,841521,4151918162T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,174,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,174,,,,,,4151918162T20050430
Point,114.22762,22.30254,818177,841497,4149718177T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,141,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,141,,,,,,4149718177T20050430
Point,114.22794,22.30253,818176,841530,4152918176T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,152B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,152B,,,,,,4152918176T20050430
Point,114.22789,22.30252,818175,841525,4152518175T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,152A,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,152A,,,,,,4152518175T20050430
Point,114.22783,22.30262,818187,841519,4151918187T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,145,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,145,,,,,,4151918187T20050430
Point,114.22827,22.30124,818034,841564,4156418035T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,73,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,73,,,,,,4156418035T20050430
Point,114.22782,22.30514,818466,841518,4151318467T20050430,管理服務中心,觀塘區,九龍,,,,,,,,麗港城,,,,,,,,麗港南街,8,,MANAGEMENT SERVICES CENTRE,KWUN TONG DISTRICT,KLN,,,,,,,,,LAGUNA CITY,,,,,,,,SOUTH LAGUNA STREET,8,,4151318467T20050430
Point,114.23817,22.28998,816788,842584,4258616787T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,43A,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,43A,,,,,,4258616787T20050430
Point,114.23881,22.29105,816906,842650,4265116907T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,24A,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,24A,,,,,,4265116907T20050430
Point,114.23747,22.28897,816675,842512,4251216677T20050430,,觀塘區,九龍,,,,,,,,,,,,三家村,51B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,SAM KA TSUEN,51B,,,,,,4251216677T20050430
Point,114.23754,22.31135,819154,842518,4253119202T20050430,,觀塘區,九龍,,,,,,,,聖愛德華天主教小學,,,,,,,,慶田街,8,,,KWUN TONG DISTRICT,KLN,,,,,,,,,ST. EDWARD'S CATHOLIC PRIMARY SCHOOL,,,,,,,,HING TIN STREET,8,,4253119202T20050430
Point,114.22154,22.31724,819806,840870,4087019807T20050430,,觀塘區,九龍,,,,,,,,樂意園,,,,,,,,康利道,11,,,KWUN TONG DISTRICT,KLN,,,,,,,,,JOYFUL VILLAS,,,,,,,,HONG LEE ROAD,11,,4087019807T20050430
Point,114.2276,22.30229,818151,841495,4149818152T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,124,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,124,,,,,,4149818152T20050430
Point,114.21929,22.31249,819279,840639,4064119282T20050430,,觀塘區,九龍,,,,,,,,,,,,,,,,偉業街,161,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,,,,,WAI YIP STREET,161,,4064119282T20050430
Point,114.2277,22.30271,818197,841505,4150318197T20050430,,觀塘區,九龍,,,,,,,,,,,,茶果嶺村,147B,,,,,,,KWUN TONG DISTRICT,KLN,,,,,,,,,,,,,CHA KWO LING TSUEN,147B,,,,,,4150318197T20050430
