Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.27274,22.38924,827781,846141,4614327782T20050430,,西貢區,新界,,,,,,,,,,,,木棉山,2,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,MUK MIN SHAN,2,,,,,,4614327782T20050430
Point,114.2785,22.39474,828390,846733,4673428391T20050430,,西貢區,新界,,,,,,,,,,,,大環,32A,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAI WAN,32A,,,,,,4673428391T20050430
Point,114.26908,22.38247,827031,845764,4576427032T20050430,,西貢區,新界,,,,,,,,,,,,躉場,735I,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAN CHEUNG,735I,,,,,,4576427032T20050430
Point,114.25612,22.37252,825928,844430,4443425926T20050430,,西貢區,新界,,,,,,,,,,,,大涌口,82,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAI CHUNG HAU,82,,,,,,4443425926T20050430
Point,114.2605,22.35349,823822,844882,4488223821T20050430,,西貢區,新界,,,,,,,,,,,,南圍,154,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,NAM WAI,154,,,,,,4488223821T20050430
Point,114.26433,22.38557,827374,845274,4527327374T20050430,,西貢區,新界,,,,,,,,,,,,甲邊朗新村,29,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,KAP PIN LONG NEW VILLAGE,29,,,,,,4527327374T20050430
Point,114.26873,22.38282,827070,845727,4572927070T20050430,,西貢區,新界,,,,,,,,,,,,躉場,2C,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAN CHEUNG,2C,,,,,,4572927070T20050430
Point,114.26871,22.38278,827066,845725,4572627066T20050430,,西貢區,新界,,,,,,,,,,,,躉場,2D,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAN CHEUNG,2D,,,,,,4572627066T20050430
Point,114.27075,22.38279,827066,845936,4593727067T20050430,,西貢區,新界,,,,,,,,,,,,,,,,普通道,25,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,,,,,PO TUNG ROAD,25,,4593727067T20050430
Point,114.30041,22.39746,828693,848989,4898928693T20050430,,西貢區,新界,,,,,,,,,,,,大埗仔,10,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAI PO TSAI,10,,,,,,4898928693T20050430
Point,114.26252,22.38298,827087,845088,4508927087T20050430,,西貢區,新界,,,,,,,,,,,,北港㘭,1R,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,PAK KONG AU,1R,,,,,,4508927087T20050430
Point,114.26858,22.38298,827087,845713,4571327088T20050430,,西貢區,新界,,,,,,,,,,,,躉場,2B,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TAN CHEUNG,2B,,,,,,4571327088T20050430
Point,114.26459,22.37911,826659,845302,4530326659T20050430,,西貢區,新界,,,,,,,,,,,,萬壽新村,8,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,MAN SAU SUN TSUEN,8,,,,,,4530326659T20050430
Point,114.26481,22.3786,826602,845324,4532326602T20050430,,西貢區,新界,,,,,,,,,,,,新安村,58,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,SUN ON TSUEN,58,,,,,,4532326602T20050430
Point,114.34917,22.35336,823815,854015,5401723815T20050430,,西貢區,新界,,,,,,,,,,,,北丫,19,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,PAK A,19,,,,,,5401723815T20050430
Point,114.26366,22.38337,827130,845205,4520527130T20050430,,西貢區,新界,,,,,,,,,,,,紅花村,14,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,HUNG FA TSUEN,14,,,,,,4520527130T20050430
Point,114.2678,22.38072,826837,845632,4563226838T20050430,,西貢區,新界,,,,,,,,,,,,灰窰下,81,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,FUI YIU HA,81,,,,,,4563226838T20050430
Point,114.27282,22.3775,826481,846149,4614926482T20050430,,西貢區,新界,,,,,,,,,,,,對面海,87,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,TUI MIN HOI,87,,,,,,4614926482T20050430
Point,114.27468,22.38937,827795,846340,4634127798T20050430,,西貢區,新界,,,,,,,,,,,,,,,,竹洋路,9,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,,,,,CHUK YEUNG ROAD,9,,4634127798T20050430
Point,114.26468,22.3885,827698,845310,4530927699T20050430,,西貢區,新界,,,,,,,,,,,,南山,15,,,,,,,SAI KUNG DISTRICT,NT,,,,,,,,,,,,,NAM SHAN,15,,,,,,4530927699T20050430
