Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.12424,22.26995,814569,830844,3081714552T20050430,,南區,香港,,,,,,,,麥理浩復康院,,,,,,,,沙灣徑,7,,,SOUTHERN DISTRICT,HK,,,,,,,,,MACLEHOSE MEDICAL REHABILITATION CENTRE,,,,,,,,SHA WAN DRIVE,7,,3081714552T20050430
Point,114.13799,22.25955,813417,832260,3226013418T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,46C,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,46C,,,,,,3226013418T20050430
Point,114.13847,22.2591,813368,832310,3230813369T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,35F,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,35F,,,,,,3230813369T20050430
Point,114.13841,22.25909,813367,832303,3230113368T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,35A,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,35A,,,,,,3230113368T20050430
Point,114.13733,22.26026,813496,832192,3219113497T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,7L,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,7L,,,,,,3219113497T20050430
Point,114.24686,22.20857,807773,843485,4348407770T20050430,,南區,香港,,,,,,,,,,,,鶴咀村,21,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,HOK TSUI VILLAGE,21,,,,,,4348407770T20050430
Point,114.24658,22.20897,807817,843455,4345107816T20050430,,南區,香港,,,,,,,,,,,,鶴咀村,33,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,HOK TSUI VILLAGE,33,,,,,,4345607816T20050430
Point,114.21258,22.20754,807657,839950,3995507658T20050430,富豪海灣Ｃ１８,南區,香港,,,,,,,,富豪海灣,,,,,,,,黃麻角道,88,,REGALIA BAY C18,SOUTHERN DISTRICT,HK,,,,,,,,,REGALIA BAY,,,,,,,,WONG MA KOK ROAD,88,,3995507658T20050430
Point,114.21221,22.20753,807657,839911,3991607657T20050430,富豪海灣Ｄ１７,南區,香港,,,,,,,,富豪海灣,,,,,,,,黃麻角道,88,,REGALIA BAY D17,SOUTHERN DISTRICT,HK,,,,,,,,,REGALIA BAY,,,,,,,,WONG MA KOK ROAD,88,,3991607657T20050430
Point,114.25186,22.23041,810192,843998,4399610196T20050430,,南區,香港,,,,,,,,,,,,石澳村,318,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,SHEK O VILLAGE,318,,,,,,4399610196T20050430
Point,114.13883,22.25913,813371,832347,3234613371T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,100P,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,100P,,,,,,3234613371T20050430
Point,114.13886,22.25913,813370,832350,3234913371T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,100H,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,100H,,,,,,3234913371T20050430
Point,114.13704,22.26002,813469,832163,3216213469T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,14A,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,14A,,,,,,3216213469T20050430
Point,114.1385,22.25929,813388,832313,3231213388T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,37A,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,37A,,,,,,3231213388T20050430
Point,114.13761,22.26005,813473,832221,3222113472T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,25D,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,25D,,,,,,3222113472T20050430
Point,114.13685,22.26004,813471,832142,3214213472T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,98,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,98,,,,,,3214213472T20050430
Point,114.13691,22.26004,813471,832149,3214713472T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,95C,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,95C,,,,,,3214713472T20050430
Point,114.13701,22.26005,813473,832159,3215913471T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,13C,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,13C,,,,,,3215913471T20050430
Point,114.13738,22.26038,813509,832197,3219613510T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,2A,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,2A,,,,,,3219613510T20050430
Point,114.13774,22.26,813467,832234,3223313467T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,82F,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,82F,,,,,,3223313467T20050430
Point,114.13669,22.26014,813483,832127,3212513485T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,101D,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,101D,,,,,,3212513485T20050430
Point,114.21245,22.21811,808828,839936,3993808832T20050430,,南區,香港,,,,,,,,,,,,,,,,赤柱大街,43,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,,,,,STANLEY MAIN STREET,43,,3993808832T20050430
Point,114.23526,22.24099,811362,842287,4229211361T20050430,,南區,香港,,,,,,,,,,,,爛泥灣村,223,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,LAN NAI WAN VILLAGE,223,,,,,,4229211361T20050430
Point,114.21811,22.2302,810167,840519,4051910167T20050430,大潭污水泵房,南區,香港,,,,,,,,大潭污水泵房,,,,,,,,大潭道,37,,TAI TAM SEWAGE PUMPING STATION,SOUTHERN DISTRICT,HK,,,,,,,,,TAI TAM SEWAGE PUMPING STATION,,,,,,,,TAI TAM ROAD,37,,4051910167T20050430
Point,114.13776,22.26034,813505,832236,3223513504T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,25L,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,25L,,,,,,3223513504T20050430
Point,114.1373,22.26034,813504,832189,3218813504T20050430,,南區,香港,,,,,,,,,,,,薄扶林村,3E,,,,,,,SOUTHERN DISTRICT,HK,,,,,,,,,,,,,POK FU LAM VILLAGE,3E,,,,,,3218813504T20050430
Point,114.21262,22.20774,807679,839954,3995907679T20050430,富豪海灣Ｃ１５,南區,香港,,,,,,,,富豪海灣,,,,,,,,黃麻角道,88,,REGALIA BAY C15,SOUTHERN DISTRICT,HK,,,,,,,,,REGALIA BAY,,,,,,,,WONG MA KOK ROAD,88,,3995907679T20050430
Point,114.21325,22.20755,807659,840018,4002407658T20050430,富豪海灣Ａ１２,南區,香港,,,,,,,,富豪海灣,,,,,,,,黃麻角道,88,,REGALIA BAY A12,SOUTHERN DISTRICT,HK,,,,,,,,,REGALIA BAY,,,,,,,,WONG MA KOK ROAD,88,,4002407658T20050430
