Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.08241,22.36909,825549,826539,2653925550T20050430,謙廬,荃灣區,新界,,,,,,,,,,,,,,,,青山公路　－　汀九段,303,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,,,,,CASTLE PEAK ROAD - TING KAU,303,,2653925550T20050430
Point,114.07903,22.36797,825425,826190,2619025425T20050430,雅石居三號屋,荃灣區,新界,,,,,,,,雅石居,,,,,,,,青山公路　－　汀九段,355A,,AZTEC LODGE HOUSE 3,TSUEN WAN DISTRICT,NT,,,,,,,,,AZTEC LODGE,,,,,,,,CASTLE PEAK ROAD - TING KAU,355A,,2619025425T20050430
Point,114.07878,22.36788,825415,826165,2616525415T20050430,雅石居五號屋,荃灣區,新界,,,,,,,,雅石居,,,,,,,,青山公路　－　汀九段,355A,,AZTEC LODGE HOUSE 5,TSUEN WAN DISTRICT,NT,,,,,,,,,AZTEC LODGE,,,,,,,,CASTLE PEAK ROAD - TING KAU,355A,,2616525415T20050430
Point,114.07898,22.368,825430,826185,2618525429T20050430,雅石居二號屋,荃灣區,新界,,,,,,,,雅石居,,,,,,,,青山公路　－　汀九段,355A,,AZTEC LODGE HOUSE 2,TSUEN WAN DISTRICT,NT,,,,,,,,,AZTEC LODGE,,,,,,,,CASTLE PEAK ROAD - TING KAU,355A,,2618525429T20050430
Point,114.11402,22.37541,826247,829795,2979426251T20050430,美港第二倉,荃灣區,新界,,,,,,,,,,,,,,,,美環街,13,19,MAYKONG GODOWN NO.2,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,,,,,MEI WAN STREET,13,19,2979426251T20050430
Point,114.11738,22.36905,825543,830140,3013825544T20050430,,荃灣區,新界,,,,,,,,,,,,,,,,沙咀道,298,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,,,,,SHA TSUI ROAD,298,,3013825544T20050430
Point,114.13116,22.38027,826786,831560,3155626783T20050430,,荃灣區,新界,,,,,,,,,,,,三棟屋村,12,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,SAM TUNG UK RESITE VILLAGE,12,,,,,,3155626783T20050430
Point,114.05977,22.36912,825554,824207,2420825554T20050430,,荃灣區,新界,,,,,,,,,,,,深井新村,18,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,SHAM TSENG SAN TSUEN,18,,,,,,2420825554T20050430
Point,114.13861,22.38281,827067,832328,3232827067T20050430,,荃灣區,新界,,,,,,,,,,,,和宜合,27,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,WO YI HOP,27,,,,,,3232827067T20050430
Point,114.121,22.3784,826578,830514,3051526578T20050430,,荃灣區,新界,,,,,,,,,,,,新村,4,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,SAN TSUEN,4,,,,,,3051526578T20050430
Point,114.11471,22.37163,825829,829866,2987125817T20050430,,荃灣區,新界,,,,,,,,,,,,,,,,大河道,60,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,,,,,TAI HO ROAD,60,,2987125817T20050430
Point,114.12801,22.37176,825843,831236,3123725844T20050430,,荃灣區,新界,,,,,,,,,,,,海壩新村,2,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,HOI PA SAN TSUEN,2,,,,,,3123725844T20050430
Point,114.04622,22.36246,824818,822811,2281224818T20050430,,荃灣區,新界,,,,,,,,,,,,圓墩村,16,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,YUEN TUN VILLAGE,16,,,,,,2281224818T20050430
Point,114.13523,22.37335,826019,831979,3197826017T20050430,,荃灣區,新界,,,,,,,,,,,,大白田村,42D,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,TAI PAK TIN VILLAGE,42D,,,,,,3197826017T20050430
Point,114.12533,22.3786,826600,830959,3095826596T20050430,,荃灣區,新界,,,,,,,,,,,,老圍,2,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,LO WAI,2,,,,,,3095826596T20050430
Point,114.12407,22.37172,825839,830830,3083025838T20050430,,荃灣區,新界,,,,,,,,,,,,關門口村,28,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,KWAN MUN HAU TSUEN,28,,,,,,3083025838T20050430
Point,114.13516,22.37323,826006,831971,3197226007T20050430,,荃灣區,新界,,,,,,,,,,,,大白田村,46A,,,,,,,TSUEN WAN DISTRICT,NT,,,,,,,,,,,,,TAI PAK TIN VILLAGE,46A,,,,,,3197226007T20050430
