Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,113.9816,22.42374,831611,816164,1615431611T20050430,,屯門區,新界,,,,,,,,,,,,青磚圍,296,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSING CHUEN WAI,296,,,,,,1616431612T20050430
Point,113.97962,22.40302,829317,815957,1597729355T20050430,,屯門區,新界,,,,,,,,景峰花園,,,,,,,,景峰徑,2,,,TUEN MUN DISTRICT,NT,,,,,,,,,PRIME VIEW GARDEN,,,,,,,,KING FUNG PATH,2,,1596029314T20050430
Point,113.98863,22.42443,831687,816888,1688831688T20050430,,屯門區,新界,,,,,,,,,,,,順風圍,22,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,SUN FUNG WAI,22,,,,,,1688831688T20050430
Point,113.98438,22.40573,829617,816448,1644929620T20050430,,屯門區,新界,,,,,,,,,,,,頌皇台,32,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,CHUNG WONG TOI,32,,,,,,1644929620T20050430
Point,113.98425,22.41834,831013,816436,1643631013T20060908,,屯門區,新界,,,,,,,,,,,,屯門新村,27,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TUEN MUN SAN TSUEN,27,,,,,,1643631013T20060908
Point,113.98891,22.42437,831680,816917,1691731681T20050430,,屯門區,新界,,,,,,,,,,,,順風圍,138,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,SUN FUNG WAI,138,,,,,,1691731681T20050430
Point,113.98565,22.40532,829571,816578,1657829572T20050430,,屯門區,新界,,,,,,,,,,,,頌皇台,14,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,CHUNG WONG TOI,14,,,,,,1657829572T20050430
Point,113.96964,22.41618,830776,814931,1493330777T20050430,,屯門區,新界,,,,,,,,,,,,寶塘下,130,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,PO TONG HA,130,,,,,,1493330777T20050430
Point,113.9896,22.42162,831376,816988,1698931376T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,17,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,17,,,,,,1698931376T20050430
Point,114.01778,22.36363,824950,819882,1988424951T20050430,梁省德海上活動中心,屯門區,新界,,,,,,,,,,,,聯安新村,36,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,LUEN ON SAN TSUEN,36,,,,,,1988424951T20050430
Point,114.00413,22.36352,824940,818475,1848024938T20050430,,屯門區,新界,,,,,,,,聽濤村,,,,,,,,樂濤街,9,,BARBECUE GARDENS HOUSE 7,TUEN MUN DISTRICT,NT,,,,,,,,,BARBECUE GARDENS,,,,,,,,LOK TO STREET,9,,1848024938T20050430
Point,113.98066,22.39708,828659,816063,1606328660T20050430,,屯門區,新界,,,,,,,,,,,,井頭中村,60F,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSENG TAU CHUNG TSUEN,60F,,,,,,1606328660T20050430
Point,113.98606,22.42539,831793,816623,1662331794T20050430,,屯門區,新界,,,,,,,,,,,,順風圍,561,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,SUN FUNG WAI,561,,,,,,1662331794T20050430
Point,113.99048,22.42176,831390,817078,1707831392T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,228,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,228,,,,,,1707831392T20050430
Point,113.99,22.42015,831213,817028,1703031215T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,125,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,125,,,,,,1703031215T20050430
Point,113.99029,22.42263,831487,817059,1705931488T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,333,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,333,,,,,,1705931488T20050430
Point,113.98864,22.42304,831532,816889,1688931533T20050430,,屯門區,新界,,,,,,,,,,,,泥圍,81,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,NAI WAI,81,,,,,,1688931533T20050430
Point,113.9798,22.39742,828697,815974,1597528698T20050430,,屯門區,新界,,,,,,,,,,,,井頭中村,53,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSENG TAU CHUNG TSUEN,53,,,,,,1597528698T20050430
Point,113.9725,22.42138,831351,815227,1522731351T20050430,,屯門區,新界,,,,,,,,,,,,茵翠豪庭,29,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,VILLA PINADA,29,,,,,,1522731351T20050430
Point,113.9899,22.42085,831291,817018,1701831291T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,40,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,40,,,,,,1701831291T20050430
Point,113.98226,22.40378,829401,816229,1623029401T20050430,,屯門區,新界,,,,,,,,,,,,頌皇台,42,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,CHUNG WONG TOI,42,,,,,,1623029401T20050430
Point,113.98903,22.42136,831347,816928,1692931348T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,11,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,11,,,,,,1692931348T20050430
Point,113.98508,22.42393,831632,816523,1652331633T20050430,,屯門區,新界,,,,,,,,,,,,青磚圍,430,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSING CHUEN WAI,430,,,,,,1652331633T20050430
Point,113.99234,22.42793,832074,817270,1727132074T20050430,,屯門區,新界,,,,,,,,,,,,鍾屋村,146,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,CHUNG UK TSUEN,146,,,,,,1727132074T20050430
Point,113.97176,22.41932,831124,815151,1515231123T20050430,,屯門區,新界,,,,,,,,,,,,,,,,康寶路,143,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,,,,,HONG PO ROAD,143,,1515231123T20050430
Point,113.99163,22.42247,831470,817197,1719731471T20050430,,屯門區,新界,,,,,,,,,,,,菜園村,323,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,TSOI YUEN TSUEN,323,,,,,,1719731471T20050430
Point,113.98909,22.42439,831683,816935,1693531683T20050430,,屯門區,新界,,,,,,,,,,,,順風圍,133,,,,,,,TUEN MUN DISTRICT,NT,,,,,,,,,,,,,SUN FUNG WAI,133,,,,,,1693531683T20050430
