Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.20519,22.29186,816995,839186,3918716998T20050430,,東區,香港,,,,,,,,怡景大廈,,,,,,,,英皇道,630,,,EASTERN DISTRICT,HK,,,,,,,,,ELEGANCE HOUSE,,,,,,,,KING'S ROAD,630,,3918716998T20050430
Point,114.20481,22.2917,816977,839147,3914416996T20050430,,東區,香港,,,,,,,,,,,,,,,,英皇道,614,628,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,KING'S ROAD,614,628,3914416996T20050430
Point,114.21467,22.28,815681,840163,4016215682T20050430,康怡花園Ｃ座,東區,香港,,,,,,,,康怡花園,,,,,,,,康盛街,23,,KORNHILL BLOCK C,EASTERN DISTRICT,HK,,,,,,,,,KORNHILL,,,,,,,,HONG SHING STREET,23,,4016215682T20050430
Point,114.21524,22.28339,816057,840222,4022316051T20050430,康怡花園Ｐ座,東區,香港,,,,,,,,康怡花園,,,,,,,,康安街,10,,KORNHILL BLOCK P,EASTERN DISTRICT,HK,,,,,,,,,KORNHILL,,,,,,,,HONG ON STREET,10,,4022316051T20050430
Point,114.20959,22.29144,816948,839640,3963616962T20050430,香港中華煤氣有限公司,東區,香港,,,,,,,,,,,,,,,,渣華道,363,,THE HONG KONG AND CHINA GAS COMPANY LIMITED,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,JAVA ROAD,363,,3963616962T20050430
Point,114.2106,22.28571,816313,839744,3974516321T20050430,,東區,香港,,,,,,,,香港青少年發展聯會德育發展中心,,,,,,,,英皇道,986,,,EASTERN DISTRICT,HK,,,,,,,,,HONG KONG ASSOCIATION OF YOUTH DEVELOPMENT TRAINING CENTRE,,,,,,,,KING'S ROAD,986,,3974516321T20050430
Point,114.19602,22.28532,816271,838241,3824416269T20050430,,東區,香港,,,,,,,,,,,,,,,,雲景道,31,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,CLOUD VIEW ROAD,31,,3824416269T20050430
Point,114.21044,22.28784,816549,839727,3973016550T20050430,,東區,香港,,,,,,,,,,,,,,,,海康街,26,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,HOI HONG STREET,26,,3973016550T20050430
Point,114.21037,22.28908,816687,839720,3972016693T20050430,,東區,香港,,,,,,,,英麗閣,,,,,,,,英皇道,905,,,EASTERN DISTRICT,HK,,,,,,,,,KING'S VIEW COURT,,,,,,,,KING'S ROAD,905,,3972016693T20050430
Point,114.19923,22.28912,816691,838572,3857116694T20050430,,東區,香港,,,,,,,,,,,,,,,,明園西街,43,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,MING YUEN WESTERN STREET,43,,3857116694T20050430
Point,114.22493,22.28159,815858,841220,4121915858T20050430,,東區,香港,,,,,,,,東濤苑,,,,,,,,愛信道,33,,,EASTERN DISTRICT,HK,,,,,,,,,TUNG TAO COURT,,,,,,,,OI SHUN ROAD,33,,4121915858T20050430
Point,114.19529,22.29123,816925,838166,3816616925T20221024,,東區,香港,,,,,,,,,,,,,,,,渣華道,1,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,JAVA ROAD,1,,3816616925T20221024
Point,114.22837,22.27643,815286,841575,4157215293T20050430,,東區,香港,,,,,,,,筲箕灣賽馬會診所,,,,,,,,柴灣道,8,,,EASTERN DISTRICT,HK,,,,,,,,,SHAU KEI WAN JOCKEY CLUB CLINIC,,,,,,,,CHAI WAN ROAD,8,,4157215293T20050430
Point,114.21065,22.28816,816585,839748,3974616575T20050430,,東區,香港,,,,,,,,,,,,,,,,芬尼街,2J,2M,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,FINNIE STREET,2J,2M,3974616575T20050430
Point,114.20514,22.28754,816517,839181,3918116517T20050430,,東區,香港,,,,,,,,慧雅閣,,,,,,,,天后廟道,200,,,EASTERN DISTRICT,HK,,,,,,,,,WILSHIRE TOWERS,,,,,,,,TIN HAU TEMPLE ROAD,200,,3918116517T20050430
Point,114.20378,22.29109,816909,839041,3904116912T20050430,,東區,香港,,,,,,,,,,,,,,,,七姊妹道,112,114,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,TSAT TSZ MUI ROAD,112,114,3904116912T20050430
Point,114.20676,22.29123,816925,839347,3935316923T20050430,,東區,香港,,,,,,,,,,,,,,,,健康東街,21,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,HEALTHY STREET EAST,21,,3935316923T20050430
Point,114.19812,22.29121,816923,838457,3845716925T20050430,,東區,香港,,,,,,,,,,,,,,,,春秧街,112,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,CHUN YEUNG STREET,112,,3845716925T20050430
Point,114.20942,22.2889,816668,839622,3963616671T20050430,北角官立小學,東區,香港,,,,,,,,北角官立小學,,,,,,,,英皇道,888,,NORTH POINT GOVERNMENT PRIMARY SCHOOL,EASTERN DISTRICT,HK,,,,,,,,,NORTH POINT GOVERNMENT PRIMARY SCHOOL,,,,,,,,KING'S ROAD,888,,3963616671T20050430
