Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.18386,22.38234,827014,836988,3698727011T20050430,愛道園,沙田區,新界,,,,,,,,,,,,,,,,道風山路,30,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,,,,,TO FUNG SHAN ROAD,30,,3698727011T20050430
Point,114.2031,22.41025,830105,838969,3896830106T20080218,,沙田區,新界,,,,,,,,,,,,九肚村,2,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,KAU TO VILLAGE,2,,,,,,3896830106T20080218
Point,114.21892,22.37956,826706,840598,4059926708T20050430,,沙田區,新界,,,,,,,,,,,,大輋,3A,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,TAI CHE,3A,,,,,,4059926708T20050430
Point,114.20192,22.40333,829338,838847,3884529338T20050430,,沙田區,新界,,,,,,,,,,,,落路下,94,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,LOK LO HA,94,,,,,,3884529338T20050430
Point,114.23425,22.40985,830061,842175,4217630061T20050430,天后古媽,沙田區,新界,,,,,,,,,,,,馬鞍山村,9,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,MA ON SHAN TSUEN,9,,,,,,4217630061T20050430
Point,114.20894,22.41062,830145,839569,3956930145T20050430,,沙田區,新界,,,,,,,,,,,,,,,,紅橋里,3,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,,,,,HUNG KIU LANE,3,,3956930145T20050430
Point,114.23891,22.42759,832026,842655,4265532027T20050430,,沙田區,新界,,,,,,,,,,,,烏溪沙村第三巷,5,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,WU KAI SHA VILLAGE THIRD LANE,5,,,,,,4265532027T20050430
Point,114.21474,22.36388,824970,840168,4016924970T20050430,王氏家祠,沙田區,新界,,,,,,,,觀音山,,,,觀音山,20,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,KWUN YAM SHAN,,,,KWUN YAM SHAN,20,,,,,,4016924970T20050430
Point,114.21486,22.36381,824963,840181,4018124965T20050430,王氏宗祠,沙田區,新界,,,,,,,,觀音山,,,,觀音山,9,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,KWUN YAM SHAN,,,,KWUN YAM SHAN,9,,,,,,4018124965T20050430
Point,114.18217,22.38409,827208,836813,3681327213T20050430,,沙田區,新界,,,,,,,,,,,,,,,,道風山路,33,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,,,,,TO FUNG SHAN ROAD,33,,3681327213T20050430
Point,114.19046,22.37355,826041,837667,3766826042T20050430,,沙田區,新界,,,,,,,,,,,,山下圍,76,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,SHAN HA WAI,76,,,,,,3766826042T20050430
Point,114.17899,22.37683,826403,836486,3647526403T20050609,,沙田區,新界,,,,,,,,,,,,,,,,積信街,69,75,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,,,,,CHIK SHUN STREET,69,75,3648826402T20051104
Point,114.23973,22.43314,832640,842739,4273932641T20050430,,沙田區,新界,,,,,,,,,,,,渡頭,24,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,TO TAU,24,,,,,,4273932641T20050430
Point,114.23963,22.43313,832639,842729,4272932641T20050430,,沙田區,新界,,,,,,,,,,,,渡頭,26,,,,,,,SHA TIN DISTRICT,NT,,,,,,,,,,,,,TO TAU,26,,,,,,4272932641T20050430
