Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.14278,22.33715,822010,832756,3275722008T20050430,已婚主任級職員宿舍,深水埗區,九龍,,,,,,,,懲教署職員會所,,,,,,,,蝴蝶谷道,5,,OFFICERS' MARRIED QUARTERS,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,CORRECTIONAL SERVICES DEPARTMENT STAFF CLUB,,,,,,,,BUTTERFLY VALLEY ROAD,5,,3275722008T20050430
Point,114.17265,22.33919,822235,835833,3584022235T20050430,,深水埗區,九龍,,,,,,,,歌和老街公園,,,,,,,,歌和老街,17,,,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,CORNWALL STREET PARK,,,,,,,,CORNWALL STREET,17,,3584022235T20050430
Point,114.14982,22.34436,822808,833482,3348522813T20050430,嘉珀山會所,深水埗區,九龍,,,,,,,,嘉珀山,,,,,,,,郝德傑道,3,,THE CALDECOTT CLUB HOUSE,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,THE CALDECOTT,,,,,,,,CALDECOTT ROAD,3,,3348522813T20050430
Point,114.15012,22.34484,822861,833512,3351022859T20050430,郝德傑山會所,深水埗區,九龍,,,,,,,,郝德傑山,,,,,,,,郝德傑道,2,,CALDECOTT HILL CLUB HOUSE,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,CALDECOTT HILL,,,,,,,,CALDECOTT ROAD,2,,3351022859T20050430
Point,114.14647,22.33558,821836,833136,3314321818T20050430,,深水埗區,九龍,,,,,,,,,,,,,,,,荔枝角道,880,,,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,,,,,,,,,LAI CHI KOK ROAD,880,,3313621836P20060311
Point,114.16164,22.32669,820851,834699,3470120852T20050430,深水埗公立醫局,深水埗區,九龍,,,,,,,,,,,,,,,,醫局街,137,,SHAM SHUI PO PUBLIC DISPENSARY,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,,,,,,,,,YEE KUK STREET,137,,3470120852T20050430
Point,114.17571,22.33617,821901,836148,3615121899T20050430,,深水埗區,九龍,,,,,,,,,,,,,,,,達之路,78,,,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,,,,,,,,,TAT CHEE AVENUE,78,,3615121899T20050430
Point,114.17095,22.34033,822362,835658,3565622360T20050430,,深水埗區,九龍,,,,,,,,城市大學學生宿舍,,,,,,,,歌和老街,22,,,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,STUDENT RESIDENCE CITY UNIVERSITY OF HONG KONG,,,,,,,,CORNWALL STREET,22,,3565622360T20050430
Point,114.14104,22.33743,822042,832576,3257422044T20050430,美荔道變電站,深水埗區,九龍,,,,,,,,,,,,,,,,美荔道,2,,MEI LAI ROAD SUBSTATION,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,,,,,,,,,MEI LAI ROAD,2,,3257422044T20050430
Point,114.15299,22.33233,821476,833808,3381721476T20050430,,深水埗區,九龍,,,,,,,,,,,,,,,,發祥街,2A,,,SHAM SHUI PO DISTRICT,KLN,,,,,,,,,,,,,,,,,FAT TSEUNG STREET,2A,,3381721476T20050430
