Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.15294,22.28234,815940,833802,3380315940T20050430,,中西區,香港,,,,,,,,,,,,,,,,嘉咸街,46,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,GRAHAM STREET,46,,3380315940T20050430
Point,114.15002,22.28344,816062,833501,3350116067T20050430,,中西區,香港,,,,,,,,英皇書院同學會小學,,,,,,,,必列者士街,58,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,KING'S COLLEGE OLD BOYS' ASSOCIATION PRIMARY SCHOOL,,,,,,,,BRIDGES STREET,58,,3350116067T20050430
Point,114.15088,22.28316,816031,833589,3359116031T20050430,,中西區,香港,,,,,,,,,,,,,,,,城皇街,17,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,SHING WONG STREET,17,,3359116031T20050430
Point,114.1324,22.2832,816036,831685,3169316031T20050430,薄扶林電站高座,中西區,香港,,,,,,,,,,,,,,,,薄扶林道,97,,POKFULAM STATION BUILDING,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,POK FU LAM ROAD,97,,3169316031T20050430
Point,114.14882,22.28184,815885,833376,3337715879T20050430,猶太廟,中西區,香港,,,,,,,,,,,,,,,,羅便臣道,70,,OHEL LEAH SYNAGOGUE,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,ROBINSON ROAD,70,,3337715879T20050430
Point,114.15151,22.28099,815791,833654,3365315795T20050430,,中西區,香港,,,,,,,,,,,,,,,,太子台,12,14,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,PRINCE'S TERRACE,12,14,3365315795T20050430
Point,114.14454,22.28233,815940,832936,3293515947T20050430,,中西區,香港,,,,,,,,,,,,,,,,羅便臣道,109C,,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,ROBINSON ROAD,109C,,3293515947T20050430
Point,114.13061,22.28234,815941,831500,3149715938T20050430,,中西區,香港,,,,,,,,,,,,,,,,山市街,15,17,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,SANDS STREET,15,17,3149715938T20050430
Point,114.15323,22.28132,815828,833832,3383715821T20050430,奧卑利街已婚警察宿舍,中西區,香港,,,,,,,,奧卑利街已婚警察宿舍,,,,,,,,奧卑利街,17A,,OLD BAILEY STREET POLICE MARRIED QUARTERS,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,OLD BAILEY STREET POLICE MARRIED QUARTERS,,,,,,,,OLD BAILEY STREET,17A,,3383715821T20050430
Point,114.13898,22.28547,816287,832363,3236516292T20050430,,中西區,香港,,,,,,,,,,,,,,,,水街,25,35,,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,,,,,,,,,WATER STREET,25,35,3236516292T20050430
Point,114.14086,22.28549,816289,832556,3255516277T20050430,救恩堂,中西區,香港,,,,,,,,救恩學校,,,,,,,,高街,97A,,KAU YAN CHURCH,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,KAU YAN SCHOOL,,,,,,,,HIGH STREET,97A,,3255516277T20050430
Point,114.14086,22.28549,816289,832556,3255516277T20050430,救恩堂,中西區,香港,,,,,,,,救恩學校,,,,,,,,第三街,98,,KAU YAN CHURCH,CENTRAL & WESTERN DISTRICT,HK,,,,,,,,,KAU YAN SCHOOL,,,,,,,,THIRD STREET,98,,3255516277T20050430
