Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,113.92883,22.27047,814647,810703,1070314647T20050430,,離島區,新界,,,,,,,,,,,,莫家,35,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,MOK KA,35,,,,,,1070314647T20050430
Point,114.01889,22.29179,816995,819988,1998916996T20050430,,離島區,新界,,,,,,,,,,,,稔樹灣村,23,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,NIM SHUE WAN VILLAGE,23,,,,,,1998916996T20050430
Point,114.0395,22.28347,816072,822111,2211016072T20050430,,離島區,新界,,,,,,,,,,,,,,,,聖家路,1,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,SHING KA ROAD,1,,2211016072T20050430
Point,114.03849,22.28342,816066,822007,2200716066T20050430,,離島區,新界,,,,,,,,,,,,,,,,坪洲永興街,38,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,PENG CHAU WING HING STREET,38,,2200716066T20050430
Point,113.95745,22.23242,810428,813646,1364710429T20050430,,離島區,新界,,,,,,,,,,,,長沙下村,15,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,CHEUNG SHA HA TSUEN,15,,,,,,1364710429T20050430
Point,114.02896,22.21217,808178,821017,2101708178T20050430,,離島區,新界,,,,,,,,,,,,東堤小築,7F,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,BELA VISTA VILLA,7F,,,,,,2101708178T20050430
Point,113.86451,22.25427,812865,804070,0407312865T20050430,,離島區,新界,,,,,,,,,,,,,,,,大澳太平街,152,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,TAI O TAI PING STREET,152,,0407312865T20050430
Point,114.03896,22.28563,816311,822056,2205616311T20050430,,離島區,新界,,,,,,,,,,,,山頂村,1,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,SHAN TING TSUEN,1,,,,,,2205616311T20050430
Point,113.90309,22.28543,816308,808054,0805516309T20050430,,離島區,新界,,,,,,,,,,,,沙螺灣村第一街,27,,,,,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,SHA LO WAN TSUEN 1ST LANE,27,,,,,,0805516309T20050430
Point,114.04185,22.28436,816170,822353,2235416171T20050430,,離島區,新界,,,,,,,,,,,,,,,,永隆街,25A,,,ISLANDS DISTRICT,NT,,,,,,,,,,,,,,,,,WING LUNG STREET,25A,,2235416171T20050430
