Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.13726,22.34522,822904,832188,3218922905T20050430,九華徑村村公所,葵青區,新界,,,,,,,,,,,,九華徑,1,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,1,,,,,,3218922905T20050430
Point,114.10443,22.35571,824066,828806,2882324057T20050430,,葵青區,新界,,,,,,,,青衣邨,,,,,,,,青綠街,3,,,KWAI TSING DISTRICT,NT,,,,,,,,,TSING YI ESTATE,,,,,,,,TSING LUK STREET,3,,2882324057T20050430
Point,114.1007,22.35352,823824,828422,2842523821T20050430,,葵青區,新界,,,,,,,,,,,,新屋村,15,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,SAN UK RESITE VILLAGE,15,,,,,,2842523821T20050430
Point,114.1016,22.35351,823824,828514,2851823822T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,9,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,9,,,,,,2851823822T20050430
Point,114.12838,22.36164,824722,831273,3126824725T20050430,葵涌消防局,葵青區,新界,,,,,,,,,,,,,,,,興盛路,77,79,KWAI CHUNG FIRE STATION,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,HING SHING ROAD,77,79,3126824725T20050430
Point,114.10156,22.35344,823815,828510,2851323813T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,8,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,8,,,,,,2851323813T20050430
Point,114.11185,22.34421,822793,829570,2959022812T20050430,和記電訊大廈,葵青區,新界,,,,,,,,,,,,,,,,長輝路,99,,HUTCHISON TELECOM TOWER,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,CHEUNG FAI ROAD,99,,2959022812T20050430
Point,114.13217,22.34225,822575,831663,3164022552T20050430,,葵青區,新界,,,,,,,,,,,,,,,,荔景山路,230,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,LAI KING HILL ROAD,230,,3166222577T20050430
Point,114.13699,22.34488,822866,832160,3216122867T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,62,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,62,,,,,,3216122867T20050430
Point,114.1367,22.34238,822590,832129,3213422587T20050430,,葵青區,新界,,,,,,,,,,,,,,,,華荔徑,11,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,WA LAI PATH,11,,3213422587T20050430
Point,114.13664,22.34539,822923,832123,3212422923T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,23B,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,23B,,,,,,3212422923T20050430
Point,114.13733,22.34538,822922,832195,3219522922T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,4,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,4,,,,,,3219522922T20050430
Point,114.13729,22.34439,822811,832190,3219022811T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,64G,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,64G,,,,,,3219022811T20050430
Point,114.10083,22.35207,823663,828435,2843723665T20050430,,葵青區,新界,,,,,,,,,,,,藍田村,2,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,LAM TIN RESITE VILLAGE,2,,,,,,2843723665T20050430
Point,114.13739,22.34347,822710,832200,3220322709T20050430,,葵青區,新界,,,,,,,,樂園,,,,,,,,荔景山路,280,,,KWAI TSING DISTRICT,NT,,,,,,,,,HAPPY VILLA,,,,,,,,LAI KING HILL ROAD,280,,3220322709T20050430
Point,114.13659,22.37046,825698,832119,3212325702T20050430,大圓街熟食市場,葵青區,新界,,,,,,,,大圓街熟食市場,,,,,,,,大圓街,26,,TAI YUEN STREET COOKED FOOD MARKET,KWAI TSING DISTRICT,NT,,,,,,,,,TAI YUEN STREET COOKED FOOD MARKET,,,,,,,,TAI YUEN STREET,26,,3212325702T20050430
Point,114.13085,22.35649,824152,831528,3152324141T20050430,葵涌車房,葵青區,新界,,,,,,,,,,,,,,,,新葵街,1,11,KWAI CHUNG DEPOT,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,SAN KWAI STREET,1,11,3152324141T20050430
Point,114.13505,22.34525,822907,831960,3196122907T20050430,,葵青區,新界,,,,,,,,,,,,九華徑新村,63,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG SAN TSUEN,63,,,,,,3196122907T20050430
Point,114.13559,22.3467,823067,832015,3201523066T20050430,,葵青區,新界,,,,,,,,,,,,九華徑新村,28,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG SAN TSUEN,28,,,,,,3201523066T20050430
Point,114.1064,22.352,823656,829009,2900923658T20050430,,葵青區,新界,,,,,,,,,,,,青衣信義新村,5,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TSING YI LUTHERAN NEW VILLAGE,5,,,,,,2900923658T20050430
Point,114.13504,22.34708,823110,831959,3195923109T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,46C,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,46C,,,,,,3195923109T20050430
Point,114.13669,22.37297,825977,832130,3213925972T20050430,,葵青區,新界,,,,,,,,,,,,,,,,和宜合道,290,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,WO YI HOP ROAD,290,,3213925972T20050430
Point,114.11957,22.36286,824857,830366,3034724847T20050430,,葵青區,新界,,,,,,,,,,,,,,,,勝耀街,4,8,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,SHING YIU STREET,4,8,3034724847T20050430
Point,114.13708,22.37482,826181,832169,3216926177T20050430,梨木樹救護站,葵青區,新界,,,,,,,,梨木樹救護站,,,,,,,,和宜合道,300A,,LEI MUK SHUE AMBULANCE DEPOT,KWAI TSING DISTRICT,NT,,,,,,,,,LEI MUK SHUE AMBULANCE DEPOT,,,,,,,,WO YI HOP ROAD,300A,,3216926177T20050430
Point,114.13659,22.37455,826152,832119,3211126135T20050430,,葵青區,新界,,,,,,,,,,,,,,,,和宜合道,298,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,WO YI HOP ROAD,298,,3211926152T20050430
Point,114.12395,22.3529,823755,830817,3082623752T20050430,,葵青區,新界,,,,,,,,,,,,,,,,貨櫃碼頭路,51,63,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,CONTAINER PORT ROAD,51,63,3082623752T20050430
Point,114.13517,22.34508,822888,831972,3197422890T20050430,,葵青區,新界,,,,,,,,,,,,九華徑新村,59,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG SAN TSUEN,59,,,,,,3197422890T20050430
Point,114.10059,22.35365,823838,828410,2841323835T20050430,,葵青區,新界,,,,,,,,,,,,新屋村,21,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,SAN UK RESITE VILLAGE,21,,,,,,2841323835T20050430
Point,114.10633,22.35204,823660,829002,2900223661T20050430,,葵青區,新界,,,,,,,,,,,,青衣信義新村,1,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TSING YI LUTHERAN NEW VILLAGE,1,,,,,,2900223661T20050430
Point,114.1066,22.35191,823646,829029,2902923648T20050430,,葵青區,新界,,,,,,,,,,,,青衣信義新村,15,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TSING YI LUTHERAN NEW VILLAGE,15,,,,,,2902923648T20050430
Point,114.13499,22.34179,822524,831954,3195322525T20050430,,葵青區,新界,,,,,,,,瑪嘉烈醫院,,,,,,,,葵涌醫院路,21,,,KWAI TSING DISTRICT,NT,,,,,,,,,PRINCESS MARGARET HOSPITAL,,,,,,,,KWAI CHUNG HOSPITAL ROAD,21,,3195322525T20050430
Point,114.10545,22.35147,823597,828911,2891023601T20050430,,葵青區,新界,,,,,,,,,,,,涌美老屋村,40,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,CHUNG MEI LO UK VILLAGE,40,,,,,,2891023601T20050430
Point,114.13699,22.34578,822965,832160,3215922966T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,15C,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,15C,,,,,,3215922966T20050430
Point,114.13801,22.37266,825942,832266,3226625943T20050430,,葵青區,新界,,,,,,,,寧峰苑,,,,,,,,梨木道,99,,,KWAI TSING DISTRICT,NT,,,,,,,,,NING FUNG COURT,,,,,,,,LEI MUK ROAD,99,,3226625943T20050430
Point,114.1242,22.36095,824646,830842,3088024636T20050430,,葵青區,新界,,,,,,,,順德聯誼總會李兆基中學,,,,,,,,葵盛圍,303,,,KWAI TSING DISTRICT,NT,,,,,,,,,SHUN TAK FRATERNAL ASSOCIATION LEE SHAU KEE COLLEGE,,,,,,,,KWAI SHING CIRCUIT,303,,3088024636T20050430
Point,114.10169,22.35399,823877,828524,2852723874T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,24,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,24,,,,,,2852723874T20050430
Point,114.12802,22.35247,823706,831236,3123523702T20050430,,葵青區,新界,,,,,,,,下葵涌分科診所及特殊教育服務中心,,,,,,,,麗祖路,77,,,KWAI TSING DISTRICT,NT,,,,,,,,,HA KWAI CHUNG POLYCLINIC & SPECIAL EDUCATION SERVICES CENTRE,,,,,,,,LAI CHO ROAD,77,,3123523702T20050430
Point,114.09987,22.3527,823733,828336,2834023731T20050430,,葵青區,新界,,,,,,,,,,,,鹽田角村,42,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,YIM TIN KOK RESITE VILLAGE,42,,,,,,2834023731T20050430
Point,114.10142,22.35421,823900,828496,2850123899T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,48,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,48,,,,,,2850123899T20050430
Point,114.12938,22.36484,825076,831376,3135025085T20050430,,葵青區,新界,,,,,,,,,,,,,,,,葵合街,7,11,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,,,,,KWAI HOP STREET,7,11,3135025085T20050430
Point,114.13513,22.34554,822939,831968,3196922939T20050430,,葵青區,新界,,,,,,,,,,,,九華徑新村,77,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG SAN TSUEN,77,,,,,,3196922939T20050430
Point,114.12754,22.34482,822860,831186,3118322860T20050430,,葵青區,新界,,,,,,,,救世軍荔景院,,,,,,,,荔景山路,200,210,,KWAI TSING DISTRICT,NT,,,,,,,,,SALVATION ARMY LAI KING HOME,,,,,,,,LAI KING HILL ROAD,200,210,3118322860T20050430
Point,114.13128,22.3557,824064,831572,3157224065T20050430,,葵青區,新界,,,,,,,,,,,,下葵涌村,23,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,HA KWAI CHUNG VILLAGE,23,,,,,,3157224065T20050430
Point,114.13175,22.35554,824046,831620,3162024047T20050430,,葵青區,新界,,,,,,,,,,,,下葵涌村,48,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,HA KWAI CHUNG VILLAGE,48,,,,,,3162024047T20050430
Point,114.13605,22.34544,822929,832063,3206322929T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,30A,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,30A,,,,,,3206322929T20050430
Point,114.13733,22.34542,822926,832194,3219422926T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,5,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,5,,,,,,3219422926T20050430
Point,114.13175,22.35537,824028,831620,3162124028T20050430,,葵青區,新界,,,,,,,,,,,,下葵涌村,52,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,HA KWAI CHUNG VILLAGE,52,,,,,,3162124028T20050430
Point,114.10125,22.3536,823834,828479,2848223831T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,28,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,28,,,,,,2848223831T20050430
Point,114.10165,22.35327,823796,828519,2852223794T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,2,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,2,,,,,,2852223794T20050430
Point,114.13608,22.34544,822928,832066,3206722929T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,29C1,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,29C1,,,,,,3206722929T20050430
Point,114.13492,22.3453,822912,831947,3194722913T20050430,,葵青區,新界,,,,,,,,,,,,九華徑新村,69A,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG SAN TSUEN,69A,,,,,,3194722913T20050430
Point,114.1367,22.34529,822911,832129,3212922912T20050430,,葵青區,新界,,,,,,,,,,,,九華徑,36D,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,KAU WA KENG,36D,,,,,,3212922912T20050430
Point,114.10107,22.35364,823837,828460,2846323834T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,39,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,39,,,,,,2846323834T20050430
Point,114.10163,22.35356,823829,828517,2852023826T20050430,,葵青區,新界,,,,,,,,,,,,大王下村,10,,,,,,,KWAI TSING DISTRICT,NT,,,,,,,,,,,,,TAI WONG HA RESITE VILLAGE,10,,,,,,2852023826T20050430
