Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.1951,22.52463,842771,838143,3814442771T20050430,,北區,新界,,,,,,,,,,,,上禾坑,19,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,SHEUNG WO HANG,19,,,,,,3814442771T20050430
Point,114.14613,22.53989,844461,833105,3310544462T20050430,,北區,新界,,,,,,,,,,,,打鼓嶺村,27,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,TA KWU LING VILLAGE,27,,,,,,3310544462T20050430
Point,114.11236,22.50047,840096,829630,2962740095T20050430,,北區,新界,,,,,,,,,,,,金錢第十一巷,6,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,KAM TSIN 11TH LANE,6,,,,,,2962740095T20050430
Point,114.15418,22.49818,839842,833933,3393439843T20050430,,北區,新界,,,,,,,,,,,,祠堂村,37B,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,TSZ TONG TSUEN,37B,,,,,,3393439843T20050430
Point,114.1249,22.50836,840970,830921,3092140970T20050430,,北區,新界,,,,,,,,,,,,莆上村第十二巷,12B,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PO SHEUNG TSUEN LANE NO.12,12B,,,,,,3092140970T20050430
Point,114.16055,22.52803,843147,834589,3459043147T20050430,,北區,新界,,,,,,,,,,,,坪輋,37,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PING CHE,37,,,,,,3459043147T20050430
Point,114.17375,22.51891,842137,835946,3594642137T20050430,,北區,新界,,,,,,,,,,,,白田新村,12,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PAK TIN NEW VILLAGE,12,,,,,,3594642137T20050430
Point,114.17383,22.51889,842135,835955,3595542136T20050430,,北區,新界,,,,,,,,,,,,白田新村,11,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,PAK TIN NEW VILLAGE,11,,,,,,3595542136T20050430
Point,114.12587,22.52669,842999,831020,3101943000T20050430,,北區,新界,,,,,,,,,,,,沙嶺,252,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,SHA LING,252,,,,,,3101943000T20050430
Point,114.17674,22.51609,841824,836255,3625541825T20050430,,北區,新界,,,,,,,,,,,,馬尾下嶺咀,13,,,,,,,NORTH DISTRICT,NT,,,,,,,,,,,,,MA MEI HA LENG TSUI,13,,,,,,3625541825T20050430
