Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.14345,22.46593,836271,832828,3282936270T20050430,,大埔區,新界,,,,,,,,,,,,圍頭村輋地,85,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,WAI TAU TSUEN CHE TEI,85,,,,,,3282936270T20050430
Point,114.15605,22.47486,837259,834125,3412537259T20050430,,大埔區,新界,,,,,,,,,,,,元嶺,82A,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,YUEN LENG,82A,,,,,,3412537259T20050430
Point,114.21091,22.47115,836849,839771,3977136849T20050430,,大埔區,新界,,,,,,,,,,,,布心排,37,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,PO SAM PAI,37,,,,,,3977136849T20050430
Point,114.14667,22.46397,836054,833160,3316036054T20050430,,大埔區,新界,,,,,,,,,,,,圍頭村,71,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,WAI TAU TSUEN,71,,,,,,3316036054T20050430
Point,114.18748,22.46379,836033,837359,3736036035T20050430,,大埔區,新界,,,,,,,,,,,,下坑,41A,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,HA HANG,41A,,,,,,3736036035T20050430
Point,114.15092,22.47501,837276,833597,3359737277T20050430,,大埔區,新界,,,,,,,,,,,,南華莆,25A,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,NAM WA PO,25A,,,,,,3359737277T20050430
Point,114.1506,22.47501,837276,833564,3356637277T20050430,,大埔區,新界,,,,,,,,,,,,南華莆,27E,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,NAM WA PO,27E,,,,,,3356637277T20050430
Point,114.15628,22.47581,837364,834148,3414837364T20050430,,大埔區,新界,,,,,,,,,,,,元嶺,61,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,YUEN LENG,61,,,,,,3414837364T20050430
Point,114.15118,22.47496,837271,833623,3362437271T20050430,,大埔區,新界,,,,,,,,,,,,南華莆,26,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,NAM WA PO,26,,,,,,3362437271T20050430
Point,114.14306,22.46586,836262,832788,3278636263T20050430,,大埔區,新界,,,,,,,,,,,,圍頭村輋地,76,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,WAI TAU TSUEN CHE TEI,76,,,,,,3278636263T20050430
Point,114.21998,22.47085,836816,840705,4070536816T20050430,,大埔區,新界,,,,,,,,,,,,汀角,206,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,TING KOK,206,,,,,,4070536816T20050430
Point,114.14741,22.46385,836040,833236,3323636041T20170705,,大埔區,新界,,,,,,,,,,,,圍頭村,51A,,,,,,,TAI PO DISTRICT,NT,,,,,,,,,,,,,WAI TAU TSUEN,51A,,,,,,3323636041T20170705
