Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.18583,22.27064,814645,837191,3718814640T20050430,,灣仔區,香港,,,,,,,,雲臺別墅,,,,,,,,雲地利道,25,27,,WAN CHAI DISTRICT,HK,,,,,,,,,VENTRIS TERRACE,,,,,,,,VENTRIS ROAD,25,27,3718814640T20050430
Point,114.1696,22.26664,814202,835519,3551814202T20050430,金馬麟山道變壓站,灣仔區,香港,,,,,,,,,,,,,,,,金馬麟山道,2,,MOUNT CAMERON ROAD SUBSTATION,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,MOUNT CAMERON ROAD,2,,3551814202T20050430
Point,114.19367,22.27782,815440,837999,3799015433T20050430,,灣仔區,香港,,,,,,,,福興閣,,,,,,,,浣紗街,63,,,WAN CHAI DISTRICT,HK,,,,,,,,,FOOK HING COURT,,,,,,,,WUN SHA STREET,63,,3799015433T20050430
Point,114.18972,22.25909,813366,837592,3759813365T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,38A,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,38A,,3759813365T20050430
Point,114.19195,22.25833,813281,837822,3782313283T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,10F,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,10F,,3782313283T20050430
Point,114.18338,22.28166,815865,836938,3692815869T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,景隆街,15,27,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,CANNON STREET,15,27,3692815869T20050430
Point,114.18338,22.28166,815865,836938,3692815869T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,告士打道,271,275,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,GLOUCESTER ROAD,271,275,3692815869T20050430
Point,114.192,22.28546,816286,837827,3782616278T20050430,永興街垃圾收集站及公廁,灣仔區,香港,,,,,,,,,,,,,,,,永興街,15,,WING HING STREET REFUSE COLLECTION POINT & PUBLIC TOILET,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,WING HING STREET,15,,3782616278T20050430
Point,114.19126,22.2586,813312,837751,3775113312T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,10A,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,10A,,3775113312T20050430
Point,114.19135,22.25886,813340,837760,3775913340T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,10B,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,10B,,3775913340T20050430
Point,114.18989,22.25888,813342,837610,3761113341T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,38D,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,38D,,3761113341T20050430
Point,114.17129,22.26359,813864,835693,3569213863T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,中峽道,14,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,MIDDLE GAP ROAD,14,,3569213863T20050430
Point,114.18048,22.27709,815359,836639,3663715360T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,摩理臣山道,31,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,MORRISON HILL ROAD,31,,3663715360T20050430
Point,114.18994,22.2591,813367,837614,3761113366T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,38B,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,38B,,3761113366T20050430
Point,114.19147,22.25856,813307,837772,3777213308T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,布力徑,10C,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,BLACK'S LINK,10C,,3777213308T20050430
Point,114.17778,22.27687,815334,836361,3635215336T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,活道,19,21,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,WOOD ROAD,19,21,3635215336T20050430
Point,114.19442,22.26923,814488,838077,3807814491T20190409,,灣仔區,香港,,,,,,,,,,,,,,,,白建時道,53,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,PERKINS ROAD,53,,3807814491T20190409
Point,114.18533,22.2683,814385,837140,3714014380T20050430,,灣仔區,香港,,,,,,,,山景閣,,,,,,,,山村道,31,,,WAN CHAI DISTRICT,HK,,,,,,,,,SUN VIEW COURT,,,,,,,,VILLAGE ROAD,31,,3714014380T20050430
Point,114.18584,22.26796,814348,837193,3718714353T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,山村道,60,62,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,VILLAGE ROAD,60,62,3718714353T20050430
Point,114.17277,22.27779,815436,835846,3584215428T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,軒尼詩道,139,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,HENNESSY ROAD,139,,3584215428T20050430
Point,114.17277,22.27779,815436,835846,3584215428T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,駱克道,138,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,LOCKHART ROAD,138,,3584215428T20050430
Point,114.193,22.27132,814720,837930,3793014721T20050430,,灣仔區,香港,,,,,,,,銀霞閣,,,,,,,,睦誠道,61,,,WAN CHAI DISTRICT,HK,,,,,,,,,AURORA,,,,,,,,MOORSOM ROAD,61,,3793014721T20050430
Point,114.19494,22.26876,814436,838130,3813514435T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,白建時道,67A,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,PERKINS ROAD,67A,,3813514435T20050430
Point,114.17521,22.27915,815587,836097,3610515593T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,告士打道,123,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,GLOUCESTER ROAD,123,,3610515593T20050430
Point,114.16996,22.27638,815280,835555,3555515280T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,皇后大道東,96,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,QUEEN'S ROAD EAST,96,,3555515280T20050430
Point,114.19251,22.2661,814142,837880,3787914145T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,畢拉山徑,34,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,MOUNT BUTLER DRIVE,34,,3787914145T20050430
Point,114.1724,22.28018,815701,835807,3580615718T20050430,,灣仔區,香港,,,,,,,,灣仔政府大樓,,,,,,,,港灣道,12,,,WAN CHAI DISTRICT,HK,,,,,,,,,WANCHAI TOWER,,,,,,,,HARBOUR ROAD,12,,3580615718T20050430
Point,114.16727,22.28024,815708,835278,3527715708T20050430,添馬電站（低座）,灣仔區,香港,,,,,,,,添馬２７５千伏電力站,,,,,,,,夏慤道,35,,TAMAR STATION BUILDING,WAN CHAI DISTRICT,HK,,,,,,,,,TAMAR 275KV SUBSTATION,,,,,,,,HARCOURT ROAD,35,,3527715708T20050430
Point,114.1831,22.26758,814306,836910,3691114305T20050430,,灣仔區,香港,,,,,,,,,,,,,,,,鳳輝臺,12,,,WAN CHAI DISTRICT,HK,,,,,,,,,,,,,,,,,FUNG FAI TERRACE,12,,3691114305T20050430
