Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.1963,22.3409,822425,838270,3827022428T20050430,滙豐仁愛堂「仁間有愛」社區支援中心,黃大仙區,九龍,,,,,,,,,,,,,,,,睦鄰街,7,,HSBC YAN OI TONG COMMUNITY SUPPORT CENTER,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,MUK LUN STREET,7,,3827022428T20050430
Point,114.18951,22.33607,821890,837570,3756921887T20050430,五旬節聖潔會永光堂,黃大仙區,九龍,,,,,,,,五旬節聖潔會永光堂,,,,,,,,杏林街,22,,THE WING KONG PENTECOSTAL HOLINESS CHURCH,WONG TAI SIN DISTRICT,KLN,,,,,,,,,THE WING KONG PENTECOSTAL HOLINESS CHURCH,,,,,,,,HENG LAM STREET,22,,3756921887T20050430
Point,114.21517,22.33722,822018,840213,4021322017T20050430,曉暉花園濾水泵房,黃大仙區,九龍,,,,,,,,曉暉花園,,,,,,,,豐盛街,63,,SCENIC VIEW FILTRATION PLANT ROOM,WONG TAI SIN DISTRICT,KLN,,,,,,,,,SCENIC VIEW,,,,,,,,FUNG SHING STREET,63,,4021322017T20050430
Point,114.19648,22.3496,823389,838288,3828923389T20050430,慈雲山警署,黃大仙區,九龍,,,,,,,,慈雲山警署,,,,,,,,慈雲山道,151,,TSZ WAN SHAN POLICE STATION,WONG TAI SIN DISTRICT,KLN,,,,,,,,,TSZ WAN SHAN POLICE STATION,,,,,,,,TSZ WAN SHAN ROAD,151,,3828923389T20050430
Point,114.19523,22.34494,822872,838159,3815922880T20050430,竹園變電站,黃大仙區,九龍,,,,,,,,竹園變電站,,,,,,,,雅竹街,3,,CHUK YUEN SUBSTATION,WONG TAI SIN DISTRICT,KLN,,,,,,,,,CHUK YUEN SUBSTATION,,,,,,,,NGA CHUK STREET,3,,3815922880T20050430
Point,114.20773,22.34073,822407,839447,3944822401T20050430,,黃大仙區,九龍,,,,,,,,帝峯豪苑,,,,,,,,斧山道,183,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,REGENT ON THE HILL,,,,,,,,HAMMER HILL ROAD,183,,3944822401T20050430
Point,114.20291,22.34673,823070,838950,3895023069T20050430,,黃大仙區,九龍,,,,,,,,,,,,,,,,毓華里,26,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,YUK WAH CRESCENT,26,,3895023069T20050430
Point,114.197,22.34108,822445,838341,3834022448T20050430,,黃大仙區,九龍,,,,,,,,路德會救恩幼稚園,,,,,,,,睦鄰街,13,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,REDEMPTION LUTHERAN KINDERGARTEN,,,,,,,,MUK LUN STREET,13,,3834022448T20050430
Point,114.21568,22.33697,821991,840265,4026521990T20050430,電視衛星機電房,黃大仙區,九龍,,,,,,,,曉暉花園,,,,,,,,豐盛街,63,,SATELLITE HEADEND ROOM,WONG TAI SIN DISTRICT,KLN,,,,,,,,,SCENIC VIEW,,,,,,,,FUNG SHING STREET,63,,4026521990T20050430
Point,114.20648,22.34116,822454,839317,3931822455T20050430,,黃大仙區,九龍,,,,,,,,志蓮淨苑,,,,,,,,志蓮道,7,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,CHI LIN NUNNERY,,,,,,,,CHI LIN DRIVE,7,,3931822455T20050430
Point,114.20793,22.33651,821939,839467,3946721939T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,99,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,99,,,,,,3946721939T20050430
Point,114.20765,22.33696,821989,839438,3943821989T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,120,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,120,,,,,,3943821989T20050430
Point,114.19629,22.34261,822614,838268,3826722613T20050430,消防處黃大仙員佐級已婚人員宿舍Ｂ座,黃大仙區,九龍,,,,,,,,消防處黃大仙員佐級已婚人員宿舍,,,,,,,,盈鳳里,3,,FIRE SERVICES DEPARTMENT WONG TAI SIN RANK AND FILE MARRIED QUARTERS BLOCK B,WONG TAI SIN DISTRICT,KLN,,,,,,,,,FIRE SERVICES DEPARTMENT WONG TAI SIN RANK AND FILE MARRIED QUARTERS,,,,,,,,YING FUNG LANE,3,,3826722613T20050430
Point,114.18549,22.34052,822383,837156,3715722383T20050430,,黃大仙區,九龍,,,,,,,,,,,,,,,,富美街,8,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,FU MEI STREET,8,,3715722383T20050430
Point,114.19853,22.3453,822912,838499,3849822911T20050430,,黃大仙區,九龍,,,,,,,,,,,,,,,,環鳳街,88,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,WAN FUNG STREET,88,,3849822911T20050430
Point,114.19468,22.3318,821418,838103,3810921432T20050430,,黃大仙區,九龍,,,,,,,,李求恩紀念中學,,,,,,,,太子道東,596,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,LEE KAU YAN MEMORIAL SCHOOL,,,,,,,,PRINCE EDWARD ROAD EAST,596,,3810921432T20050430
Point,114.20601,22.33525,821799,839270,3927121804T20050430,,黃大仙區,九龍,,,,,,,,聖公會聖本德中學,,,,,,,,藍鐘路,11,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,S.K.H. ST. BENEDICT'S SCHOOL,,,,,,,,LAM CHUNG AVENUE,11,,3927121804T20050430
Point,114.20926,22.33544,821821,839604,3960521821T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,67,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,67,,,,,,3960521821T20050430
Point,114.20803,22.3369,821982,839478,3947821982T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,122,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,122,,,,,,3947821982T20050430
Point,114.20791,22.33686,821978,839465,3946421979T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,121,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,121,,,,,,3946421979T20050430
Point,114.21541,22.33699,821992,840238,4023821991T20050430,,黃大仙區,九龍,,,,,,,,,,,,,,,,豐盛街,63,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,FUNG SHING STREET,63,,4023821991T20050430
Point,114.20771,22.33632,821918,839444,3944521918T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,115,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,115,,,,,,3944521918T20050430
Point,114.20859,22.3359,821872,839535,3953521871T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,84,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,84,,,,,,3953521871T20050430
Point,114.20819,22.33934,822252,839494,3949522254T20050430,,黃大仙區,九龍,,,,,,,,東九龍分科診療所,,,,,,,,斧山道,160,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,EAST KOWLOON POLYCLINIC,,,,,,,,HAMMER HILL ROAD,160,,3949522254T20050430
Point,114.19447,22.33127,821358,838081,3808321360T20050430,,黃大仙區,九龍,,,,,,,,,,,,,,,,太子道東,590,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,PRINCE EDWARD ROAD EAST,590,,3808321360T20050430
Point,114.1933,22.34092,822427,837960,3798522432T20050430,黃大仙官立小學,黃大仙區,九龍,,,,,,,,黃大仙官立小學,,,,,,,,正德街,100,,WONG TAI SIN GOVERNMENT PRIMARY SCHOOL,WONG TAI SIN DISTRICT,KLN,,,,,,,,,WONG TAI SIN GOVERNMENT PRIMARY SCHOOL,,,,,,,,CHING TAK STREET,100,,3798522432T20050430
Point,114.19413,22.34094,822429,838046,3806622440T20050430,,黃大仙區,九龍,,,,,,,,民政事務總署黃大仙社區中心,,,,,,,,正德街,104,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,HOME AFFAIRS DEPARTMENT WONG TAI SIN COMMUNITY CENTRE,,,,,,,,CHING TAK STREET,104,,3806622440T20050430
Point,114.20904,22.33556,821834,839581,3957921832T20050430,,黃大仙區,九龍,,,,,,,,,,,,牛池灣村,72,,,,,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,NGAU CHI WAN VILLAGE,72,,,,,,3957921832T20050430
Point,114.18948,22.33564,821843,837567,3756721831T20170731,,黃大仙區,九龍,,,,,,,,,,,,,,,,杏林街,20,,,WONG TAI SIN DISTRICT,KLN,,,,,,,,,,,,,,,,,HENG LAM STREET,20,,3756721831T20170731
