Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.16918,22.30746,818721,835475,3547518722T20050430,西貢街變電站,油尖旺區,九龍,,,,,,,,,,,,,,,,新填地街,45,,SAIGON STREET SUBSTATION,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,RECLAMATION STREET,45,,3547518722T20050430
Point,114.16854,22.31311,819348,835410,3541119347T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,廣東道,816,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,CANTON ROAD,816,,3541119347T20050430
Point,114.17893,22.30273,818199,836480,3647818198T20050430,香港理工大學Ｃ柱,油尖旺區,九龍,,,,,,,,香港理工大學,,,,,,,,育才道,11,,THE HONG KONG POLYTECHNIC UNIVERSITY CORE C,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,THE HONG KONG POLYTECHNIC UNIVERSITY,,,,,,,,YUK CHOI ROAD,11,,3647818198T20050430
Point,114.16976,22.31021,819026,835535,3553519026T20050430,上海街２６５變電站,油尖旺區,九龍,,,,,,,,,,,,,,,,上海街,265,267,SHANGHAI STREET 265 SUBSTATION,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,SHANGHAI STREET,265,267,3553519026T20050430
Point,114.17027,22.31023,819028,835587,3558719028T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,廟街,63,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,TEMPLE STREET,63,,3558719028T20050430
Point,114.17374,22.30493,818441,835945,3594418443T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,覺士道,10,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,COX'S ROAD,10,,3594418443T20050430
Point,114.16438,22.32584,820757,834981,3498220758T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,荔枝角道,176,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,LAI CHI KOK ROAD,176,,3498220758T20050430
Point,114.17083,22.31068,819079,835645,3564219078T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,彌敦道,469,471,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,NATHAN ROAD,469,471,3564219078T20050430
Point,114.1693,22.31548,819610,835487,3548819608T20050430,砵蘭街變電站,油尖旺區,九龍,,,,,,,,,,,,,,,,砵蘭街,131,137,PORTLAND STREET SUBSTATION,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,PORTLAND STREET,131,137,3548819608T20050430
Point,114.1738,22.30779,818759,835951,3593718761T20050430,伊利沙伯醫院Ｓ座,油尖旺區,九龍,,,,,,,,伊利沙伯醫院,,,,,,,,加士居道,30,,QUEEN ELIZABETH HOSPITAL S BLOCK,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,QUEEN ELIZABETH HOSPITAL,,,,,,,,GASCOIGNE ROAD,30,,3593718761T20050430
Point,114.17404,22.31445,819496,835976,3589219518T20050430,,油尖旺區,九龍,,,,,,,,九龍華仁書院,,,,,,,,窩打老道,56,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,KOWLOON WAH YAN COLLEGE,,,,,,,,WATERLOO ROAD,56,,3589219518T20050430
Point,114.17162,22.29423,817257,835727,3572717251T20050430,,油尖旺區,九龍,,,,,,,,香港太空館,,,,,,,,梳士巴利道,10,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,HONG KONG SPACE MUSEUM,,,,,,,,SALISBURY ROAD,10,,3572717251T20050430
Point,114.16935,22.30644,818609,835493,3549218609T20050430,上海街１２９變電站,油尖旺區,九龍,,,,,,,,,,,,,,,,上海街,129,,SHANGHAI STREET 129 SUBSTATION,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,SHANGHAI STREET,129,,3549218609T20050430
Point,114.16983,22.30965,818964,835543,3552918989T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,眾坊街,60,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,PUBLIC SQUARE STREET,60,,3554218962T20050430
Point,114.16752,22.31664,819738,835305,3530219737T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,廣東道,977A,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,CANTON ROAD,977A,,3530219737T20050430
Point,114.1674,22.32151,820278,835292,3529420278T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,上海街,663,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,SHANGHAI STREET,663,,3529420278T20050430
Point,114.173,22.30794,818775,835869,3587018772T20050430,勞資審裁處,油尖旺區,九龍,,,,,,,,,,,,,,,,加士居道,36,,LABOUR TRIBUNAL,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,GASCOIGNE ROAD,36,,3587018772T20050430
Point,114.17149,22.32361,820510,835713,3569320546T20050430,,油尖旺區,九龍,,,,,,,,伊利沙伯中學,,,,,,,,太子道西,187,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,QUEEN ELIZABETH SCHOOL,,,,,,,,PRINCE EDWARD ROAD WEST,187,,3569320546T20050430
Point,114.17149,22.32361,820510,835713,3569320546T20050430,,油尖旺區,九龍,,,,,,,,伊利沙伯中學,,,,,,,,洗衣街,152,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,QUEEN ELIZABETH SCHOOL,,,,,,,,SAI YEE STREET,152,,3569320546T20050430
Point,114.17272,22.31061,819071,835840,3583919071T20050430,,油尖旺區,九龍,,,,,,,,,,,,,,,,京士柏道,33,,,YAU TSIM MONG DISTRICT,KLN,,,,,,,,,,,,,,,,,KING'S PARK RISE,33,,3583919071T20050430
