Geometry_Type,Longitude,Latitude,Northing,Easting,CSU_ID,Chi_BuildingName,Chi_District,Chi_Region,Chi_UnitDescriptor,Chi_UnitNo,Chi_UnitPortion,Chi_FloorNum,Chi_FloorDescription,Chi_BlockDescriptor,Chi_BlockNo,Chi_EstateName,Chi_PhaseName,Chi_PhaseNo,Chi_VillageLocationName,Chi_VillageName,Chi_VillageBuildingNoFrom,Chi_VillageBuildingNoTo,Chi_StreetLocationName,Chi_StreetName,Chi_StreetBuildingNoFrom,Chi_StreetBuildingNoTo,Eng_BuildingName,Eng_District,Eng_Region,Eng_UnitDescriptor,Eng_UnitNo,Eng_UnitPortion,Eng_FloorNum,Eng_FloorDescription,Eng_BlockDescriptor,Eng_BlockNo,Eng_BlockDescriptorPrecedenceIndicator,Eng_EstateName,Eng_PhaseName,Eng_PhaseNo,Eng_VillageLocationName,Eng_VillageName,Eng_VillageBuildingNoFrom,Eng_VillageBuildingNoTo,Eng_StreetLocationName,Eng_StreetName,Eng_StreetBuildingNoFrom,Eng_StreetBuildingNoTo,GeoAddress
Point,114.12621,22.28124,815819,831046,3104715804T20050430,東苑臺,中西區,香港,室,102,,1,1樓,,,西環邨,,,,,,,,加多近街,52,60,EAST TERRACE,CENTRAL & WESTERN DISTRICT,HK,FLAT,102,,1,1/F,,,,SAI WAN ESTATE,,,,,,,,CADOGAN STREET,52,60,3104715804T20050430
Point,114.12519,22.28094,815786,830942,3097915806T20050430,西苑臺,中西區,香港,室,301,,3,3樓,,,西環邨,,,,,,,,,,,WEST TERRACE,CENTRAL & WESTERN DISTRICT,HK,FLAT,301,,3,3/F,,,,SAI WAN ESTATE,,,,,,,,,,,3093515784T20050430
Point,114.12573,22.28078,815768,830997,3099615762T20050430,南苑臺,中西區,香港,室,201,,2,2樓,,,西環邨,,,,,,,,,,,SOUTH TERRACE,CENTRAL & WESTERN DISTRICT,HK,FLAT,201,,2,2/F,,,,SAI WAN ESTATE,,,,,,,,,,,3099615762T20050430
Point,114.1256,22.28132,815828,830984,3099815836T20050430,北苑臺,中西區,香港,室,101,,1,1樓,,,西環邨,,,,,,,,,,,NORTH TERRACE,CENTRAL & WESTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,SAI WAN ESTATE,,,,,,,,,,,3099815836T20050430
Point,114.12621,22.28124,815819,831046,3104715804T20050430,東苑臺,中西區,香港,室,102,,1,1樓,,,西環邨,,,,,,,,,,,EAST TERRACE,CENTRAL & WESTERN DISTRICT,HK,FLAT,102,,1,1/F,,,,SAI WAN ESTATE,,,,,,,,,,,3104715804T20050430
Point,114.12589,22.28132,815828,831014,3101515782T20050430,中苑臺,中西區,香港,室,101,,1,1樓,,,西環邨,,,,,,,,,,,CENTRAL TERRACE,CENTRAL & WESTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,SAI WAN ESTATE,,,,,,,,,,,3101415829T20050430
Point,114.23764,22.26145,813629,842531,4253013634T20050430,,東區,香港,,,,,,,,環翠邨,,,,,,,,翠景街,3,,,EASTERN DISTRICT,HK,,,,,,,,,WAN TSUI ESTATE,,,,,,,,TSUI KING STREET,3,,4253013634T20050430
Point,114.22538,22.28219,815924,841267,4126515921T20050430,,東區,香港,,,,,,,,愛東邨,,,,,,,,愛德街,3,,,EASTERN DISTRICT,HK,,,,,,,,,OI TUNG ESTATE,,,,,,,,OI TAK STREET,3,,4126515921T20050430
Point,114.24184,22.26555,814082,842964,4295214074T20130816,,東區,香港,,,,,,,,漁灣邨,,,,,,,,柴灣道,365,,,EASTERN DISTRICT,HK,,,,,,,,,YUE WAN ESTATE,,,,,,,,CHAI WAN ROAD,365,,4295214074T20130816
Point,114.23626,22.26085,813561,842389,4238313558T20180523,,東區,香港,,,,,,,,連翠邨,,,,,,,,連城道,36,,,EASTERN DISTRICT,HK,,,,,,,,,LIN TSUI ESTATE,,,,,,,,LIN SHING ROAD,36,,4238313558T20180523
Point,114.23645,22.26453,813970,842408,4240913970T20160729,,東區,香港,,,,,,,,,,,,,,,,吉勝街,2,,,EASTERN DISTRICT,HK,,,,,,,,,,,,,,,,,KUT SHING STREET,2,,4240913970T20160729
Point,114.24184,22.26555,814082,842964,4294414092T20110120,漁安樓,東區,香港,室,201,,2,2樓,,,漁灣邨,,,,,,,,柴灣道,365,,YUE ON HSE,EASTERN DISTRICT,HK,FLAT,201,,2,2/F,,,,YUE WAN ESTATE,,,,,,,,CHAI WAN ROAD,365,,4295214074T20130816
Point,114.23764,22.26145,813629,842531,4252213638T20050430,蕙翠樓,東區,香港,室,201,,2,2樓,,,環翠邨,,,,,,,,翠景街,3,,WAI TSUI HSE,EASTERN DISTRICT,HK,FLAT,201,,2,2/F,,,,WAN TSUI ESTATE,,,,,,,,TSUI KING STREET,3,,4253013634T20050430
Point,114.24844,22.2614,813623,843644,4364613617T20050430,瑞樂樓,東區,香港,室,101,,1,1樓,,,小西灣邨,,,,,,,,小西灣道,10,,SUI LOK HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,SIU SAI WAN ESTATE,,,,,,,,SIU SAI WAN ROAD,10,,4364613617T20050430
Point,114.20821,22.291,816899,839497,3949516898T20050430,民祥樓,東區,香港,室,G01,,,G樓,座,E,模範邨,,,,,,,,英皇道,740,748,MAN CHEUNG HSE,EASTERN DISTRICT,HK,FLAT,G01,,,G/F,BLK,E,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,740,748,3949516898T20050430
Point,114.2088,22.29078,816875,839558,3957216862T20050430,民康樓,東區,香港,室,101,,1,1樓,座,C1&C2,模範邨,,,,,,,,英皇道,766,,MAN HONG HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,BLKS,C1&C2,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,766,,3957216862T20050430
Point,114.2088,22.29078,816875,839558,3957216862T20050430,民康樓,東區,香港,室,101,,1,1樓,座,C1&C2,模範邨,,,,,,,,英皇道,770,,MAN HONG HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,BLKS,C1&C2,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,770,,3957216862T20050430
Point,114.20878,22.29016,816807,839556,3955716806T20050430,民順樓,東區,香港,室,G04,,,G樓,座,A,模範邨,,,,,,,,英皇道,786,,MAN SHUN HSE,EASTERN DISTRICT,HK,FLAT,G04,,,G/F,BLK,A,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,786,,3955716806T20050430
Point,114.25037,22.26106,813586,843844,4384313587T20050430,瑞泰樓,東區,香港,室,201,,2,2樓,,,小西灣邨,,,,,,,,小西灣道,10,,SUI TAI HSE,EASTERN DISTRICT,HK,FLAT,201,,2,2/F,,,,SIU SAI WAN ESTATE,,,,,,,,SIU SAI WAN ROAD,10,,4384313587T20050430
Point,114.20871,22.29036,816829,839549,3955116829T20050430,民景樓,東區,香港,室,G04,,,G樓,座,B,模範邨,,,,,,,,英皇道,782,,MAN KING HSE,EASTERN DISTRICT,HK,FLAT,G04,,,G/F,BLK,B,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,782,,3955116829T20050430
Point,114.2083,22.29038,816830,839506,3950516836T20050430,民樂樓,東區,香港,室,G01,,,G樓,座,F,模範邨,,,,,,,,英皇道,796,802C,MAN LOK HSE,EASTERN DISTRICT,HK,FLAT,G01,,,G/F,BLK,F,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,796,802C,3950516836T20050430
Point,114.23823,22.26227,813719,842592,4259013733T20050430,富翠樓,東區,香港,室,209,,2,2樓,,,環翠邨,,,,,,,,茵翠街,3,,FU TSUI HSE,EASTERN DISTRICT,HK,FLAT,209,,2,2/F,,,,WAN TSUI ESTATE,,,,,,,,YAN TSUI STREET,3,,4259013733T20050430
Point,114.2198,22.28121,815816,840692,4069715797T20050430,興康樓,東區,香港,室,101,,1,1樓,,,興東邨,,,,,,,,耀興道,53,,HING HONG HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,HING TUNG ESTATE,,,,,,,,YIU HING ROAD,53,,4069715797T20050430
Point,114.23509,22.26222,813714,842268,4227013715T20050430,卓華樓,東區,香港,室,101,,1,1樓,,,興華(一)邨,,,,,,,,環翠道,11,,CHEUK WAH HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,HING WAH (I) ESTATE,,,,,,,,WAN TSUI ROAD,11,,4227013715T20050430
Point,114.2088,22.29078,816875,839558,3957216862T20050430,民康樓,東區,香港,室,101,,1,1樓,座,C1&C2,模範邨,,,,,,,,英皇道,764,,MAN HONG HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,BLKS,C1&C2,Y,MODEL HOUSING ESTATE,,,,,,,,KING'S ROAD,764,,3957216862T20050430
Point,114.2277,22.28195,815897,841506,4150615897T20050430,愛平樓,東區,香港,室,101,,1,1樓,,,愛東邨,,,,,,,,愛賢街,18,,OI PING HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,OI TUNG ESTATE,,,,,,,,OI YIN STREET,18,,4150615897T20050430
Point,114.22672,22.28084,815775,841405,4142315759T20050430,愛善樓,東區,香港,室,701,,7,7樓,,,愛東邨,,,,,,,,愛賢街,18,,OI SIN HSE,EASTERN DISTRICT,HK,FLAT,701,,7,7/F,,,,OI TUNG ESTATE,,,,,,,,OI YIN STREET,18,,4142315759T20050430
Point,114.2482,22.26185,813673,843619,4361913685T20050430,瑞富樓,東區,香港,室,101,,1,1樓,,,小西灣邨,,,,,,,,小西灣道,10,,SUI FU HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,SIU SAI WAN ESTATE,,,,,,,,SIU SAI WAN ROAD,10,,4361913685T20050430
Point,114.24898,22.26075,813551,843700,4369913566T20050430,瑞喜樓,東區,香港,室,101,,1,1樓,,,小西灣邨,,,,,,,,小西灣道,10,,SUI HEI HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,SIU SAI WAN ESTATE,,,,,,,,SIU SAI WAN ROAD,10,,4369913566T20050430
Point,114.23696,22.2624,813734,842461,4247313749T20050430,澤翠樓,東區,香港,室,201,,2,2樓,,,環翠邨,,,,,,,,華廈街,8,,CHAK TSUI HSE,EASTERN DISTRICT,HK,FLAT,201,,2,2/F,,,,WAN TSUI ESTATE,,,,,,,,WAH HA STREET,8,,4247313749T20050430
Point,114.21931,22.28154,815852,840641,4064315852T20050430,興祖樓,東區,香港,室,101,,1,1樓,,,興東邨,,,,,,,,耀興道,53,,HING CHO HSE,EASTERN DISTRICT,HK,FLAT,101,,1,1/F,,,,HING TUNG ESTATE,,,,,,,,YIU HING ROAD,53,,4064315852T20050430
