osm_id,code,fclass,name,geometry
26412171,4111,peak,扯旗山 Victoria Peak,POINT (114.1454573 22.2760386)
32965030,4121,tree,,POINT (114.22772 22.282759)
257006979,4121,tree,,POINT (114.2458088 22.2655629)
257006980,4121,tree,,POINT (114.2317863 22.258407)
257006981,4121,tree,,POINT (114.2351261 22.2642486)
257006982,4121,tree,,POINT (114.2332009 22.2781385)
257006983,4121,tree,,POINT (114.2334047 22.2781745)
257006984,4121,tree,,POINT (114.2342875 22.2776775)
257006985,4121,tree,,POINT (114.2337733 22.2778854)
257006986,4121,tree,,POINT (114.217642 22.2280771)
257006987,4121,tree,,POINT (114.2132616 22.2212856)
257006988,4121,tree,,POINT (114.2133154 22.2212672)
257006989,4121,tree,,POINT (114.2176129 22.2279868)
257508649,4121,tree,,POINT (114.2248199 22.3137398)
281676472,4121,tree,,POINT (114.2354292 22.2635425)
281676473,4121,tree,,POINT (114.23529 22.263598)
288737750,4111,peak,西高山 High West,POINT (114.1362939 22.2721699)
290667441,4132,cave_entrance,神風洞 Kamikaze Grottos,POINT (114.1275943 22.2041314)
297147706,4111,peak,赤馬頭 Chek Ma Tau,POINT (114.2534829 22.4934046)
297147709,4111,peak,虎頭沙 Fu Tau Sha,POINT (114.2865299 22.476918)
297147726,4111,peak,雞仔峒 Kai Tsai Tung,POINT (114.2593183 22.4935292)
297147744,4111,peak,長牌墩 Cheung Pai Tun,POINT (114.2647758 22.4697232)
297147746,4111,peak,鹿湖峒 Luk Wu Tung,POINT (114.2946617 22.4920621)
307619907,4111,peak,奇力山 Mount Kellett,POINT (114.1486033 22.2616869)
333444919,4111,peak,飛鵝山 Kowloon Peak,POINT (114.2233353 22.3406401)
334472634,4111,peak,田下山 Tin Ha Shan,POINT (114.2848176 22.2767536)
361349620,4111,peak,圓頂山 Yuen Teng Shan,POINT (114.2814241 22.3077435)
416331890,4111,peak,九龍坑山 Cloudy Hill,POINT (114.1705184 22.475892)
416332541,4111,peak,犂壁山 Lai Pek Shan,POINT (114.2151766 22.4899131)
493883893,4121,tree,,POINT (114.2250722 22.3136495)
