osm_id,code,fclass,name,geometry
98478375,3100,christian,聖德肋撒堂 Saint Teresa's Church,"POLYGON ((114.1778524 22.3263098, 114.1779082 22.3263196, 114.1778767 22.3263826, 114.1778767 22.3263838, 114.1779049 22.3264467, 114.1779606 22.326472, 114.1779729 22.3264727, 114.1780409 22.3264467, 114.1780691 22.3263838, 114.1780683 22.3263724, 114.1780538 22.3263452, 114.1781204 22.3263569, 114.1781431 22.3262466, 114.1780934 22.3262379, 114.1781499 22.3259626, 114.1779783 22.3259325, 114.1779243 22.3261952, 114.1778776 22.326187, 114.1778524 22.3263098))"
100104498,3600,taoist,極樂洞善堂 Kik Lok Tung,"POLYGON ((114.2238086 22.2782212, 114.2239883 22.2784666, 114.2241973 22.2783247, 114.2241025 22.2782059, 114.2240176 22.2780793, 114.2238086 22.2782212))"
100228388,3100,christian,基灣堂 Kei Wan Church,"POLYGON ((114.2224616 22.2803221, 114.2224824 22.2803596, 114.2225215 22.280341, 114.2225644 22.2804179, 114.2226145 22.2805079, 114.2226354 22.2804979, 114.2226488 22.2805219, 114.2227572 22.2804702, 114.2226299 22.2802418, 114.2224616 22.2803221))"
103291792,3600,taoist,天后廟 Tin Hau Temple,"POLYGON ((114.159695 22.3284952, 114.1598339 22.3286474, 114.1598949 22.3285997, 114.1598774 22.3285806, 114.1598571 22.3285965, 114.1597568 22.3284866, 114.1597662 22.3284792, 114.159857 22.3285787, 114.1598774 22.3285627, 114.1599041 22.3285919, 114.1599378 22.3285655, 114.1599116 22.3285368, 114.1599291 22.3285231, 114.159838 22.3284233, 114.1598461 22.328417, 114.1599371 22.3285167, 114.159959 22.3284996, 114.1599855 22.3285286, 114.1600036 22.3285144, 114.1599994 22.3285101, 114.1598652 22.3283626, 114.159695 22.3284952))"
107497695,3101,christian_anglican,聖約翰座堂 St. John's Cathedral,"POLYGON ((114.1594169 22.2789226, 114.159462 22.2789766, 114.159517 22.2789306, 114.1595448 22.2789639, 114.1596476 22.2788782, 114.1596991 22.2789398, 114.1597801 22.2788723, 114.1598102 22.2788472, 114.1597884 22.2788202, 114.1598985 22.2787283, 114.1597507 22.278552, 114.1595206 22.2787441, 114.1595423 22.2787701, 114.1594484 22.2788484, 114.1594719 22.2788767, 114.1594169 22.2789226))"
108926979,3107,christian_protestant,平安福音堂 Peace Evangelical Centre,"POLYGON ((114.1887583 22.3455121, 114.1887888 22.3456358, 114.189069 22.3455768, 114.1890385 22.345453, 114.1887583 22.3455121))"
109743797,3600,taoist,賓霞洞 Bun Ha Tung,"POLYGON ((114.2087505 22.3416897, 114.208906 22.3418002, 114.2088219 22.3419015, 114.2089316 22.3419794, 114.2091119 22.3417623, 114.2088467 22.3415739, 114.2087505 22.3416897))"
109743814,3400,buddhist,志蓮淨苑 Chi Lin Nunnery,"POLYGON ((114.2041326 22.3401911, 114.2044423 22.3407032, 114.2047911 22.3407881, 114.2049209 22.3410998, 114.2048848 22.3413454, 114.2049838 22.3416345, 114.2052651 22.3415122, 114.2053897 22.3413515, 114.2058225 22.3413575, 114.2063864 22.3414303, 114.2066519 22.3411946, 114.2066428 22.3410201, 114.2065515 22.3409537, 114.206605 22.3408877, 114.2064026 22.3407435, 114.2062623 22.3406436, 114.2061379 22.3402663, 114.2061233 22.3400765, 114.206089 22.3400914, 114.2060296 22.3401122, 114.2059292 22.3401177, 114.2058297 22.3400996, 114.2057385 22.3400618, 114.2054155 22.3402307, 114.2050974 22.3396881, 114.2041326 22.3401911))"
111524373,3600,taoist,文武二帝廟 Man Mo Yee Tai Temple,"POLYGON ((114.1643184 22.4489998, 114.164497 22.4490374, 114.1645268 22.4489223, 114.1643461 22.4488838, 114.1643184 22.4489998))"
112284781,3600,taoist,荃灣天后宮 Tsuen Wan Tin Hau Temple,"POLYGON ((114.1211847 22.3731821, 114.1212427 22.3731911, 114.1212725 22.3732296, 114.1212673 22.3732426, 114.1212897 22.3732741, 114.1213659 22.3732878, 114.1213889 22.3732748, 114.1214132 22.3732538, 114.1214656 22.3732649, 114.1215572 22.3732808, 114.1215863 22.3731296, 114.121544 22.3731124, 114.1214632 22.373097, 114.121452 22.3731012, 114.1214377 22.3730932, 114.1214079 22.3730606, 114.1213427 22.3730512, 114.1213122 22.3730641, 114.1213099 22.3730794, 114.1212696 22.3731039, 114.1212018 22.3730935, 114.1211847 22.3731821))"
112907937,3100,christian,中華基督教會合一堂北角堂 Hop Yat Church (North Point) The Church of Christ in China,"POLYGON ((114.1969815 22.2867649, 114.1971594 22.286972, 114.1972433 22.2869103, 114.1971941 22.2868529, 114.1973048 22.2867738, 114.1972202 22.2866726, 114.1971754 22.2867047, 114.1971081 22.2867528, 114.1970654 22.2867032, 114.1969815 22.2867649))"
112908169,3100,christian,北角聖彼得堂 St Peter's Church,"POLYGON ((114.1955133 22.2881488, 114.195576 22.2883684, 114.1956011 22.2883623, 114.1956067 22.2883818, 114.1956894 22.2883616, 114.1956838 22.2883422, 114.1957019 22.2883378, 114.1956393 22.2881181, 114.1955133 22.2881488))"
114393006,3400,buddhist,侯王廟 Yeung Hau Temple,"POLYGON ((114.0076636 22.4464648, 114.0077056 22.4464973, 114.0077675 22.4464289, 114.0077254 22.4463964, 114.0076636 22.4464648))"
114396366,3400,buddhist,洪聖宮 Hung Shing Temple,"POLYGON ((114.008032 22.4440841, 114.0082008 22.4441352, 114.0082514 22.4439926, 114.0080826 22.4439414, 114.008032 22.4440841))"
121942627,3600,taoist,茶果嶺天后廟 Tin Hau Temple (Cha Kwo Ling),"POLYGON ((114.2295507 22.2995151, 114.2296258 22.2996261, 114.2297628 22.2995468, 114.2296877 22.2994358, 114.2296423 22.2994621, 114.2295507 22.2995151))"
122737934,3102,christian_catholic,天主教聖雅各伯堂 St. James Church,"POLYGON ((114.2379924 22.2942538, 114.2381116 22.2943006, 114.2386857 22.2941926, 114.2387478 22.2940803, 114.2382536 22.2938529, 114.2382127 22.2938507, 114.2381669 22.2938741, 114.2379924 22.2942538))"
125451922,3100,christian,觀潮浸信會 Kwun Tong Swatow Baptist Church,"POLYGON ((114.2293222 22.3123622, 114.2293245 22.3123796, 114.2293572 22.3124935, 114.2293654 22.3124921, 114.2296196 22.3124356, 114.2295885 22.3123426, 114.2295417 22.3122532, 114.2295323 22.3122434, 114.2295164 22.3122384, 114.2294924 22.312241, 114.2293382 22.3123381, 114.229326 22.3123489, 114.2293222 22.3123622))"
131575737,3100,christian,聖安多尼堂 St. Anthony's Church,"POLYGON ((114.1369076 22.2848775, 114.1369157 22.2849279, 114.136962 22.2849228, 114.1369804 22.2850632, 114.1369207 22.2850699, 114.1369262 22.2851118, 114.1371704 22.2850843, 114.1371637 22.2850331, 114.1371464 22.2849016, 114.1371775 22.2848981, 114.1371744 22.2848746, 114.1371713 22.2848509, 114.1371464 22.2848537, 114.137137 22.284783, 114.1371116 22.2847859, 114.1370994 22.2846844, 114.1370751 22.2847002, 114.1370386 22.28467, 114.1369925 22.2846755, 114.1369776 22.2847016, 114.1369676 22.2847192, 114.1369355 22.2847247, 114.1369475 22.2848047, 114.1369213 22.2848082, 114.1369311 22.2848741, 114.1369076 22.2848775))"
