osm_id,code,fclass,name,geometry
335944819,3400,buddhist,中興街天后廟 Ching Hing Street Tin Hau Temple,POINT (114.0271274 22.2047273)
1051179292,3600,taoist,萬德苑 Man Tak Yuen,POINT (114.1297002 22.4323318)
1316694879,3400,buddhist,南海觀音廟,POINT (114.2527785 22.2650544)
1394375858,3100,christian,聖家彌撒中心 Holy Family Mass Centre,POINT (114.2072004 22.3354085)
1394379606,3100,christian,中華基督教會嶺東堂 The Church of Christ in China Ling Tung Church,POINT (114.206704 22.3359329)
1447891092,3101,christian_anglican,聖士提反堂 St. Stephen's Church,POINT (114.1380899 22.2850093)
1482034414,3100,christian,宣道會北角堂 North Point Alliance Church,POINT (114.1936913 22.2879891)
1590222717,3100,christian,Hong Kong Elim Presbyterian Church,POINT (114.2204252 22.285328)
1590222720,3103,christian_evangelical,播道會太古城堂 EFCC Taikoo Shing Church,POINT (114.2200765 22.2853181)
1624717205,3100,christian,香港西區浸信會 Hong Kong West Point Baptist Church,POINT (114.1370611 22.2871107)
1627124509,3100,christian,五旬節聖潔會盧亨利紀念堂 Pentecostal Holiness Church Rousseau Memorial Assembly,POINT (114.1574108 22.2445057)
1643781619,3400,buddhist,,POINT (114.0283908 22.2060919)
1671382881,3600,taoist,蓮鶴仙觀,POINT (114.2354083 22.2397421)
1703795366,3100,christian,鑽石山浸信會 Diamond Hill Baptist Church,POINT (114.2027373 22.3411517)
1709443167,3400,buddhist,送子觀世音 Songzi Guanyin,POINT (114.2089301 22.2799208)
1762301577,3400,buddhist,慈興寺 Tsz Hing Temple,POINT (113.8683262 22.2272565)
1777084923,3600,taoist,洪聖廟 Hung Shing Temple,POINT (113.9196867 22.4190104)
1887781621,3400,buddhist,大聖佛祖廟 Tai Shing Fat Cho Temple,POINT (114.1583667 22.248481)
1887784452,3600,taoist,香港仔天后古廟 Aberdeen Tin Hau Temple,POINT (114.1557278 22.2496329)
1887784471,3100,christian,香港仔浸信會 Aberdeen Baptist Church,POINT (114.1559293 22.2499569)
1890950800,3100,christian,基督教宣道會華基堂 Christian and Missionary Alliance Wah Kee Church,POINT (114.1479225 22.2497951)
1952413603,3600,taoist,闕氏宗祠 Kuet's Ancestral Hall,POINT (114.2510104 22.3903567)
1952436018,3400,buddhist,凌雲寺 Ling Wan Monastery,POINT (114.1096931 22.4295914)
1955007690,3600,taoist,天德宮 Tin Tak Kung,POINT (114.0713031 22.4482152)
1955019244,3100,christian,,POINT (114.0720488 22.4161386)
1955056226,3100,christian,香港九龍塘基督教中華宣道會國際堂 Kowloon Tong Church of the Chinese Christian and Mi,POINT (114.1908711 22.303135)
1956157568,3600,taoist,天后宮 Tin Hau Temple,POINT (114.2087383 22.5246308)
1956276264,3400,buddhist,羅漢寺 Lo Hon Buddhist Monastery,POINT (113.9293927 22.2663868)
1956276267,3400,buddhist,法林禪院 Fat Lam Sim Yuen,POINT (113.927108 22.2576194)
1956276270,3400,buddhist,寶林禪寺 Po Lam Shim Monastery,POINT (113.9243078 22.2583145)
1956301255,3400,buddhist,靈隱寺 Ling Yan Monastery,POINT (113.8771157 22.2475598)
1957239297,3600,taoist,天后宮 Tin Hau Temple,POINT (114.0684033 22.4921227)
1957239315,3600,taoist,英雄廟 Heroes Temple,POINT (114.0683117 22.4921382)
1961325391,3600,taoist,天后古廟 Tin Hau Temple,POINT (114.1624816 22.5261665)
1961419610,3400,buddhist,青山寺 Tsing Shan Monastery,POINT (113.9594301 22.3918622)
2079926095,3104,christian_lutheran,路德會牧愛堂 Loving Shepherd Lutheran Church,POINT (114.1792963 22.316039)
2102319100,3105,christian_methodist,循道衛理聯合教會香港堂 Chinese Methodist Church,POINT (114.1701147 22.2773924)
2135964359,3100,christian,中華基督教會全完堂 The Church of Christ in China Chuen Yuen Church,POINT (114.1149357 22.3702342)
2388052236,3100,christian,中華基督教會公理堂 CCC China Congregational Church,POINT (114.1861427 22.2781008)
2404144136,3100,christian,基督復臨安息日會元朗教會 Yuen Long Church of Seventh-day Adventists,POINT (114.0231986 22.4449424)
2428256633,3102,christian_catholic,聖亞納教堂及 St. Anne's Church,POINT (114.2135379 22.2184166)
2428256635,3600,taoist,大王宮 Tai Wong Temple,POINT (114.2103825 22.2188244)
2469603030,3400,buddhist,,POINT (113.8480726 22.2015464)
2935557574,3103,christian_evangelical,Chung King Ministry,POINT (114.1732198 22.2961846)
3017941126,3101,christian_anglican,聖公會靈風堂 Sheng Kung Hui Holy Spirit Church,POINT (114.1994533 22.3807552)
3035843830,3100,christian,沙田浸信會瀝源座堂 Shatin Baptist Church Lek Yuen Chapel,POINT (114.1933903 22.3852828)
3047962931,3102,christian_catholic,葛達二聖堂 SS Cosmas and Damian Church,POINT (114.1192425 22.3692434)
3070117358,3100,christian,路德會沐恩堂 Amazing Grace Lutheran Church,POINT (114.2575665 22.3197601)
3089109720,3400,buddhist,天后宮 Tin Hau Temple,POINT (114.4366603 22.5412957)
3089109736,3400,buddhist,譚大仙廟 Tan Tai Sin Temple,POINT (114.4351985 22.5411149)
3127056028,3600,taoist,洪聖宮 Hung Shing Temple,POINT (114.289274 22.2549787)
3153669172,3107,christian_protestant,the church in hong kong (causeway bay assembly hall),POINT (114.1928339 22.2835255)
3153669873,3107,christian_protestant,香港教會 The Church in Hong Kong,POINT (114.2265122 22.2791427)
