osm_id,code,fclass,name,layer,bridge,tunnel,geometry
4181592,6103,subway,港鐵機場快綫 MTR Airport Express,1,T,F,"LINESTRING (113.9433884 22.3222524, 113.9422192 22.3219972)"
4181898,6103,subway,大嶼山及機場鐵路 Lantau and Airport Railway,-2,F,T,"LINESTRING (114.0507534 22.3410909, 114.0504362 22.3408852, 114.0499962 22.340639, 114.0495886 22.3404676, 114.04908 22.3402838, 114.0485524 22.340142, 114.0479462 22.3400071, 114.0474128 22.3399237, 114.0469497 22.3398789, 114.0449453 22.3397762, 114.0427047 22.3396615, 114.0423903 22.3396451, 114.042244 22.3396374, 114.0417826 22.3395973)"
4182662,6103,subway,港鐵機場快綫 MTR Airport Express,2,T,F,"LINESTRING (114.1259085 22.3483205, 114.1251779 22.349348, 114.1248882 22.3497096, 114.124632 22.3500349, 114.1241733 22.3505537, 114.1238414 22.3508986, 114.1235065 22.3512141, 114.1231946 22.3514909, 114.1228628 22.3517379, 114.1225525 22.3519376, 114.1220459 22.3522145, 114.1197354 22.3534329, 114.1195814 22.3535152, 114.1191325 22.3537755)"
4338940,6108,funicular,山頂纜車 Peak Tram,0,F,F,"LINESTRING (114.1503039 22.2711097, 114.1514534 22.2709886)"
4959070,6103,subway,港鐵機場快綫 MTR Airport Express,0,F,F,"LINESTRING (113.9622018 22.2977883, 113.9613796 22.2975907, 113.960354 22.297356, 113.9595502 22.2971282, 113.9587353 22.2968534, 113.9582552 22.2966547, 113.9575077 22.2963078, 113.9566584 22.2958905, 113.9558361 22.2953905, 113.9555144 22.2951831, 113.9551307 22.2948982, 113.9543472 22.294258, 113.9538329 22.2937875, 113.9534013 22.293381, 113.952151 22.2921564, 113.9517679 22.2918355, 113.9513096 22.2914961, 113.950726 22.2911142, 113.9502869 22.2908711, 113.9496133 22.290538, 113.9489526 22.2902955, 113.9480904 22.2900413)"
4959071,6103,subway,港鐵機場快綫 MTR Airport Express,1,T,F,"LINESTRING (113.9396344 22.292332, 113.9394507 22.2925066, 113.9392262 22.2927269, 113.9390521 22.292902, 113.9389017 22.2930672, 113.9387585 22.2932289, 113.9385966 22.2934211, 113.9384532 22.2935981, 113.9383234 22.2937659, 113.9381989 22.293934, 113.9380658 22.2941224, 113.9379285 22.2943244, 113.9378402 22.2944624, 113.9377439 22.2946172)"
24268461,6103,subway,港鐵將軍澳綫 MTR Tseung Kwan O Line,0,F,F,"LINESTRING (114.2568642 22.3239659, 114.2579671 22.3225369, 114.2584969 22.3218521)"
25609005,6103,subway,港鐵東涌綫 MTR Tung Chung Line,0,F,F,"LINESTRING (114.1386734 22.3333609, 114.1472789 22.3300762, 114.1479486 22.329812, 114.1485026 22.3295624, 114.1490332 22.3293192, 114.1495397 22.3290735, 114.1500585 22.3287999, 114.1506523 22.3284694, 114.1512963 22.3280768, 114.1519013 22.3276984, 114.15232 22.3274161, 114.1528799 22.3270216, 114.1532218 22.3267649, 114.1536861 22.3263889, 114.1541014 22.3260245, 114.1544717 22.3256935, 114.1548452 22.3253496, 114.1555155 22.3246447, 114.1559112 22.3242169, 114.1563626 22.3237206)"
25609328,6101,rail,港鐵屯馬綫 MTR Tuen Ma Line,0,F,T,"LINESTRING (114.1562211 22.3244121, 114.1560563 22.3245787, 114.155901 22.324739, 114.1550376 22.3255832, 114.1546892 22.3258694, 114.1543321 22.3261906, 114.1538155 22.3266391, 114.1529941 22.3272812, 114.1521666 22.3279, 114.1519073 22.3280728, 114.1515991 22.3282648, 114.1512271 22.3284782, 114.1508425 22.3286835)"
25622085,6102,light_rail,輕鐵 Light Rail,0,F,F,"LINESTRING (113.9989107 22.4346946, 113.9989381 22.4347163, 113.9989487 22.4347263, 113.998964 22.4347427, 113.9989801 22.4347645, 113.9989943 22.4347901, 113.9990034 22.4348104, 113.9990109 22.4348347, 113.9990152 22.4348607, 113.9990165 22.4348851, 113.9990145 22.4349105, 113.9990084 22.4349379, 113.999 22.4349627, 113.9989679 22.4350394)"
25622090,6102,light_rail,輕鐵 Light Rail,0,F,F,"LINESTRING (114.0039688 22.4381565, 114.0039919 22.4381727, 114.0040128 22.4381899, 114.0040367 22.4382125, 114.0040565 22.438233, 114.0040731 22.4382534, 114.0040875 22.4382735, 114.0041019 22.4382976, 114.0041132 22.4383199, 114.0041241 22.4383473, 114.0041317 22.4383706, 114.0041376 22.4383928, 114.0041442 22.4384231, 114.004149 22.4384568, 114.0041526 22.43849, 114.0041631 22.4386507)"
25637699,6102,light_rail,輕鐵 Light Rail,0,F,F,"LINESTRING (114.0019648 22.46107, 114.0019727 22.4610534, 114.0019785 22.4610381, 114.0019846 22.4610165, 114.0019891 22.4609911, 114.0019905 22.4609669, 114.0019893 22.4609457, 114.0019859 22.4609239, 114.0019806 22.4609048, 114.0019733 22.460885, 114.001963 22.4608644, 114.0019503 22.4608445, 114.001935 22.4608243, 114.0019172 22.4608068, 114.0019006 22.4607932, 114.0018777 22.4607769, 114.0018505 22.4607598, 114.0018249 22.4607458, 114.0017902 22.4607294)"
25637751,6102,light_rail,輕鐵 Light Rail,1,T,F,"LINESTRING (114.0068181 22.4502151, 114.0069142 22.4503095, 114.0069921 22.4504018, 114.0070421 22.4504808, 114.0070795 22.4505668, 114.0070981 22.4506406, 114.0071122 22.4507167, 114.0071129 22.4508058, 114.0071006 22.4508834, 114.0070807 22.450949, 114.0070537 22.451012, 114.0068205 22.45138)"
25637766,6102,light_rail,輕鐵 Light Rail,0,F,F,"LINESTRING (114.006023 22.4493957, 114.0057252 22.4490975, 114.0056613 22.4490324, 114.0056333 22.4489797, 114.005622 22.4489211)"
26321721,6103,subway,港鐵東涌綫 MTR Tung Chung Line,-1,F,T,"LINESTRING (113.9413221 22.289278, 113.9418306 22.2896366, 113.9420289 22.289773, 113.942231 22.2898998)"
26321741,6103,subway,港鐵東涌綫 MTR Tung Chung Line,0,F,F,"LINESTRING (113.9676403 22.2990514, 113.9666287 22.2988204, 113.9654274 22.2984918, 113.9647605 22.2983002, 113.9637185 22.2980679, 113.9630333 22.2979767, 113.9628053 22.2979496, 113.9625474 22.2979293, 113.962228 22.2979088, 113.9616969 22.297859, 113.9611434 22.2977793, 113.9606651 22.2976836, 113.9601903 22.2975537, 113.9597324 22.2974145, 113.9578864 22.2966619, 113.9569247 22.2962115, 113.9564097 22.2959226, 113.9561322 22.2957417, 113.9560178 22.295667, 113.9554012 22.2952642, 113.9550836 22.2950461, 113.9534711 22.2940033)"
26321818,6103,subway,大嶼山及機場鐵路 Lantau and Airport Railway,3,T,F,"LINESTRING (114.0584811 22.3461414, 114.0587867 22.3463367, 114.0591018 22.3465311, 114.0594595 22.3467333, 114.0598236 22.3469268, 114.0601873 22.3471036, 114.0605816 22.3472784, 114.0609695 22.3474376, 114.061361 22.3475827, 114.0617616 22.3477149, 114.0621588 22.3478373, 114.0628571 22.3480388)"
26321823,6103,subway,大嶼山及機場鐵路 Lantau and Airport Railway,3,T,F,"LINESTRING (114.0628715 22.3479978, 114.062173 22.3477974, 114.0617764 22.3476757, 114.0613771 22.3475431, 114.0609866 22.3473997, 114.0606004 22.3472407, 114.0602075 22.347067, 114.0598447 22.3468912, 114.0594824 22.3466976, 114.0591264 22.3464954, 114.0588124 22.3463018, 114.0585072 22.3461067)"
26321824,6103,subway,大嶼山及機場鐵路 Lantau and Airport Railway,-1,F,T,"LINESTRING (114.0816036 22.3532919, 114.0831087 22.3537714, 114.0844192 22.3542186, 114.0916433 22.3564418, 114.0963355 22.3578402, 114.1001837 22.3589871, 114.1005005 22.3590746, 114.1008732 22.3591516, 114.1011757 22.3591844, 114.1014723 22.3591862)"
26321828,6103,subway,大嶼山及機場鐵路 Lantau and Airport Railway,-1,F,T,"LINESTRING (114.1010019 22.3590433, 114.1006189 22.3589584, 114.1002338 22.3588495, 114.0963824 22.3577039, 114.0916786 22.3563047, 114.0844625 22.3541429, 114.0831024 22.3537314, 114.0815566 22.3532267)"
26321832,6103,subway,港鐵東涌綫 MTR Tung Chung Line,3,T,F,"LINESTRING (114.125984 22.3482836, 114.1255615 22.3488865, 114.1253025 22.3492988, 114.1250026 22.3498227, 114.1248357 22.3500666, 114.1245436 22.3504592)"
