osm_id,code,fclass,name,geometry
30747334,5204,crossing,,POINT (114.1721995 22.296485)
33004532,5201,traffic_signals,,POINT (114.1686655 22.299807)
33476552,5201,traffic_signals,,POINT (114.1710381 22.2981104)
165997556,5201,traffic_signals,,POINT (114.1637899 22.2808514)
165999099,5204,crossing,,POINT (114.1747451 22.2779537)
239978276,5201,traffic_signals,,POINT (114.2332098 22.27091)
239994496,5206,motorway_junction,太古城交匯處 Taikoo Shing Interchange,POINT (114.2152082 22.2897606)
241589183,5204,crossing,,POINT (114.1915574 22.2852501)
245088376,5204,crossing,,POINT (114.1526622 22.2869524)
249975642,5201,traffic_signals,,POINT (114.2709986 22.3821452)
252187666,5202,mini_roundabout,,POINT (114.212614 22.2188356)
253287508,5204,crossing,,POINT (114.1406904 22.2842339)
253287511,5204,crossing,,POINT (114.1425578 22.2844445)
253290812,5201,traffic_signals,,POINT (114.1403358 22.2867546)
253311597,5201,traffic_signals,,POINT (114.1267673 22.2731813)
253311607,5202,mini_roundabout,沙宣道迴旋處 Sassoon Road Roundabout,POINT (114.1282212 22.2661983)
253311890,5202,mini_roundabout,,POINT (114.1291679 22.2615705)
253313411,5204,crossing,,POINT (114.1455255 22.285026)
253331705,5201,traffic_signals,,POINT (114.1276491 22.2839295)
253333456,5206,motorway_junction,,POINT (114.1483483 22.2883168)
253335836,5207,turning_circle,,POINT (113.9346764 22.320969)
257006278,5207,turning_circle,,POINT (114.2242007 22.254576)
257171709,5207,turning_circle,,POINT (114.1684853 22.2739845)
259968978,5250,fuel,Ps2,POINT (114.1993674 22.2385873)
260139021,5206,motorway_junction,,POINT (114.2096694 22.3910235)
260139782,5206,motorway_junction,,POINT (114.2121153 22.3990152)
261738997,5206,motorway_junction,,POINT (114.2393283 22.2723539)
261741098,5204,crossing,,POINT (114.2714791 22.3755295)
262147477,5204,crossing,,POINT (114.1365389 22.2867305)
262967422,5204,crossing,,POINT (114.2140367 22.3830093)
267052770,5206,motorway_junction,,POINT (114.0701772 22.3737063)
268637364,5206,motorway_junction,,POINT (114.1944447 22.3899011)
268637380,5206,motorway_junction,,POINT (114.2040847 22.4019187)
268637381,5206,motorway_junction,,POINT (114.2050857 22.4030662)
268637389,5206,motorway_junction,,POINT (114.2115661 22.4085526)
268637911,5206,motorway_junction,,POINT (114.1233859 22.3764579)
268637920,5206,motorway_junction,,POINT (114.1340468 22.3810924)
271052928,5204,crossing,,POINT (114.2092463 22.2908556)
274240916,5204,crossing,,POINT (114.1598134 22.2854905)
274243016,5206,motorway_junction,,POINT (114.1623076 22.3248867)
274243088,5201,traffic_signals,,POINT (114.1678988 22.3093409)
274244483,5206,motorway_junction,,POINT (114.2203911 22.3145455)
274244654,5204,crossing,,POINT (114.1516748 22.335561)
274244742,5204,crossing,,POINT (114.1516001 22.3354413)
274244810,5206,motorway_junction,荔枝角交匯處 Lai Chi Kok Interchange,POINT (114.1431408 22.3365712)
274258383,5206,motorway_junction,荃青交匯處 Tsuen Tsing Interchange,POINT (114.1192726 22.360372)
274258768,5206,motorway_junction,大涌道交匯處 Tai Chung Road Interchange,POINT (114.1109286 22.3682529)
274261943,5206,motorway_junction,,POINT (113.9771104 22.4013098)
274261956,5206,motorway_junction,,POINT (113.9797768 22.4128425)
274262611,5204,crossing,,POINT (113.982286 22.4133437)
274262615,5204,crossing,,POINT (113.9822842 22.4110164)
274262623,5204,crossing,,POINT (113.9807069 22.4087307)
274262639,5204,crossing,,POINT (113.9814843 22.4159679)
274264446,5204,crossing,,POINT (114.0193291 22.361763)
274264805,5204,crossing,,POINT (113.9779213 22.400574)
274264806,5204,crossing,,POINT (113.9775158 22.3996796)
274264810,5204,crossing,,POINT (113.9773124 22.3969956)
274265906,5204,crossing,,POINT (114.059347 22.3671757)
274265909,5204,crossing,,POINT (114.060904 22.3677258)
274478283,5201,traffic_signals,,POINT (114.2013941 22.2925655)
274479547,5204,crossing,,POINT (114.1824886 22.2803462)
274479670,5204,crossing,,POINT (114.1806197 22.2763351)
275812089,5204,crossing,,POINT (114.1103255 22.3754497)
275871773,5204,crossing,,POINT (114.1144969 22.3708657)
275945538,5201,traffic_signals,,POINT (114.1720243 22.3179153)
275948630,5201,traffic_signals,,POINT (114.1908856 22.3176925)
276169884,5204,crossing,,POINT (114.1778228 22.3127656)
276171039,5204,crossing,,POINT (114.2191928 22.3123425)
276171044,5204,crossing,,POINT (114.2212733 22.3100348)
276358684,5204,crossing,,POINT (114.205809 22.3251735)
276358685,5204,crossing,,POINT (114.206166 22.3252038)
278943463,5204,crossing,,POINT (114.147806 22.286851)
278943556,5206,motorway_junction,,POINT (114.1572819 22.2872294)
278943715,5204,crossing,,POINT (114.2167228 22.2856902)
278943876,5204,crossing,,POINT (114.2207898 22.2852181)
278944352,5204,crossing,,POINT (114.2156199 22.2844791)
278945543,5204,crossing,,POINT (114.216114 22.2818153)
278945547,5204,crossing,,POINT (114.2156697 22.2807)
278948607,5204,crossing,,POINT (114.1726096 22.3201912)
279077703,5204,crossing,,POINT (114.1586575 22.2808424)
279084610,5204,crossing,,POINT (114.1610177 22.2797123)
279084959,5203,stop,,POINT (114.1628313 22.2797307)
279085776,5208,speed_camera,,POINT (114.1582178 22.2775935)
279085949,5204,crossing,,POINT (114.154653 22.27717)
279086155,5203,stop,,POINT (114.15284 22.277651)
279121332,5204,crossing,,POINT (114.1613408 22.2816529)
279121867,5201,traffic_signals,,POINT (114.1620422 22.2807806)
279249882,5204,crossing,,POINT (113.9994846 22.4357143)
279256134,5204,crossing,,POINT (114.0134762 22.4434179)
279256137,5204,crossing,,POINT (114.0111495 22.4425268)
279256138,5204,crossing,,POINT (114.0105048 22.4421952)
279256140,5204,crossing,,POINT (114.0082642 22.4408287)
279256147,5204,crossing,,POINT (113.9984436 22.4343631)
279442636,5204,crossing,,POINT (114.0017046 22.4522117)
279442708,5204,crossing,,POINT (113.9998013 22.4466445)
279443716,5204,crossing,,POINT (114.0065512 22.4544475)
279444441,5204,crossing,,POINT (114.0032368 22.4592192)
279444555,5204,crossing,,POINT (114.0060113 22.4563864)
279446821,5204,crossing,,POINT (114.004893 22.4600512)
279447018,5204,crossing,,POINT (114.0022879 22.4646027)
279447190,5204,crossing,,POINT (113.9986889 22.4575044)
279447193,5204,crossing,,POINT (113.9997122 22.4557687)
279447216,5204,crossing,,POINT (114.0021941 22.4508424)
279447561,5204,crossing,,POINT (113.9984477 22.4575533)
279447662,5204,crossing,,POINT (114.0030738 22.4591094)
279447715,5204,crossing,,POINT (114.0013468 22.4605217)
279448177,5204,crossing,,POINT (114.0062947 22.4523295)
280170594,5202,mini_roundabout,,POINT (114.2486182 22.2372878)
282845346,5207,turning_circle,,POINT (114.1721973 22.2561042)
283548828,5206,motorway_junction,,POINT (114.1597013 22.2479033)
286429616,5204,crossing,,POINT (114.1404065 22.2523226)
287535146,5206,motorway_junction,,POINT (113.9886505 22.4160221)
288167271,5204,crossing,,POINT (114.1548532 22.2854664)
288167503,5201,traffic_signals,,POINT (114.1547295 22.2838092)
288167582,5204,crossing,,POINT (114.1565359 22.2844928)
288168156,5204,crossing,,POINT (114.1564084 22.2835957)
288372519,5204,crossing,,POINT (114.1500326 22.2819828)
288372602,5204,crossing,,POINT (114.1506217 22.2803725)
288374922,5204,crossing,,POINT (113.9413281 22.2879225)
288375096,5207,turning_circle,,POINT (113.9443621 22.2889279)
288375734,5201,traffic_signals,,POINT (113.9432442 22.2913735)
288699751,5204,crossing,,POINT (114.1719699 22.3396212)
288700928,5204,crossing,,POINT (114.1763556 22.337002)
288991082,5204,crossing,,POINT (114.1642899 22.3141064)
288991220,5204,crossing,,POINT (114.1659866 22.3143483)
288991682,5202,mini_roundabout,,POINT (114.1660659 22.3111074)
288991777,5204,crossing,,POINT (114.1633531 22.3183066)
288996632,5204,crossing,,POINT (114.1594492 22.3231203)
288997865,5204,crossing,,POINT (114.15618 22.326739)
288997866,5204,crossing,,POINT (114.15614 22.326705)
289294028,5204,crossing,,POINT (114.150912 22.3309243)
289295300,5201,traffic_signals,,POINT (114.1506724 22.3338144)
289295623,5204,crossing,,POINT (114.1518599 22.3352453)
289295668,5201,traffic_signals,,POINT (114.1466616 22.3334391)
289295674,5204,crossing,,POINT (114.1498748 22.3336277)
289295869,5201,traffic_signals,,POINT (114.1464384 22.3334529)
289295902,5204,crossing,,POINT (114.1443012 22.3351309)
289334074,5204,crossing,,POINT (114.1325924 22.3414847)
289341205,5201,traffic_signals,,POINT (114.1318706 22.2859362)
289341629,5204,crossing,,POINT (114.1306889 22.2846295)
289665351,5202,mini_roundabout,,POINT (114.1652462 22.2763257)
289666079,5204,crossing,,POINT (114.1809955 22.276709)
289666603,5204,crossing,,POINT (114.1852145 22.2771348)
289837225,5201,traffic_signals,,POINT (114.1855315 22.280442)
289867127,5204,crossing,,POINT (114.150725 22.2803799)
289867686,5204,crossing,,POINT (114.1513707 22.2793803)
290070570,5204,crossing,,POINT (114.1832684 22.2785871)
290070943,5204,crossing,,POINT (114.1894415 22.2788517)
290073290,5204,crossing,,POINT (114.1830764 22.2790424)
290073404,5204,crossing,,POINT (114.1827956 22.2789109)
290073669,5201,traffic_signals,,POINT (114.1814636 22.2776999)
290330515,5201,traffic_signals,,POINT (114.1738973 22.2822693)
290584861,5201,traffic_signals,,POINT (114.1751728 22.2767596)
291156578,5204,crossing,,POINT (114.1545928 22.2430407)
291158247,5204,crossing,,POINT (114.1706957 22.2506053)
291167230,5206,motorway_junction,,POINT (114.0254035 22.3277461)
292203802,5204,crossing,,POINT (114.1795099 22.2788135)
292205330,5204,crossing,,POINT (114.1827494 22.2758102)
293061290,5207,turning_circle,,POINT (114.3602265 22.3947313)
293114373,5204,crossing,,POINT (114.1261522 22.2821532)
293114630,5204,crossing,,POINT (114.1267503 22.2830534)
293141186,5260,parking,,POINT (114.2988525 22.3923847)
293572580,5204,crossing,,POINT (114.1911765 22.2778748)
293572713,5204,crossing,,POINT (114.194535 22.2774985)
293572770,5204,crossing,,POINT (114.1950944 22.283914)
293572771,5202,mini_roundabout,,POINT (114.1952191 22.2845441)
293574045,5204,crossing,,POINT (114.1894427 22.2804861)
293662411,5202,mini_roundabout,,POINT (114.1351913 22.2837667)
294056082,5201,traffic_signals,,POINT (114.1931182 22.2830808)
294056093,5204,crossing,,POINT (114.1950284 22.2860661)
294056098,5204,crossing,,POINT (114.1971516 22.28804)
294056100,5204,crossing,,POINT (114.1986705 22.2880032)
294056167,5204,crossing,,POINT (114.1951961 22.2855811)
295821679,5206,motorway_junction,北角交匯處 North Point Interchange,POINT (114.2020964 22.2940873)
295822878,5204,crossing,,POINT (114.2271227 22.2775834)
295823841,5206,motorway_junction,,POINT (114.2377066 22.2653829)
295824117,5206,motorway_junction,2B,POINT (114.2300196 22.2803571)
295884684,5206,motorway_junction,北角交匯處 North Point Interchange,POINT (114.2081529 22.2930006)
296292995,5204,crossing,,POINT (114.1986086 22.2914587)
296293078,5204,crossing,,POINT (114.1966723 22.2906747)
296293084,5204,crossing,,POINT (114.1987704 22.2909275)
296293167,5201,traffic_signals,,POINT (114.1989647 22.2910634)
296294173,5207,turning_circle,,POINT (114.2026493 22.2936397)
297147876,5204,crossing,,POINT (114.1657826 22.4469223)
297147888,5204,crossing,,POINT (114.16669 22.4489446)
297157505,5204,crossing,,POINT (114.1625291 22.4491793)
297157756,5201,traffic_signals,,POINT (114.1694915 22.4484303)
297165930,5204,crossing,,POINT (114.1889457 22.2661076)
297165942,5204,crossing,,POINT (114.181059 22.2793859)
297189908,5204,crossing,,POINT (114.1792191 22.2745759)
297912097,5204,crossing,,POINT (114.2045243 22.2923061)
297912961,5201,traffic_signals,,POINT (114.2092599 22.2909058)
297914993,5204,crossing,,POINT (113.9747596 22.3945104)
299267312,5201,traffic_signals,,POINT (114.0162716 22.3634555)
307391990,5204,crossing,,POINT (114.252196 22.3060442)
307391991,5204,crossing,,POINT (114.2523863 22.3057705)
307391992,5204,crossing,,POINT (114.2531839 22.3046841)
308473172,5201,traffic_signals,,POINT (114.1685012 22.3150669)
308473173,5201,traffic_signals,,POINT (114.1689561 22.315141)
308473182,5201,traffic_signals,,POINT (114.1680482 22.3172304)
308473188,5201,traffic_signals,,POINT (114.1714652 22.3178106)
308473425,5204,crossing,,POINT (114.1690585 22.3210513)
308473426,5204,crossing,,POINT (114.1701722 22.3184397)
308475623,5201,traffic_signals,,POINT (114.1598682 22.3374384)
308475632,5201,traffic_signals,,POINT (114.1594163 22.3368007)
308475634,5201,traffic_signals,,POINT (114.1553473 22.3392172)
308475637,5201,traffic_signals,,POINT (114.1562138 22.3385521)
308475640,5201,traffic_signals,,POINT (114.1571036 22.3378553)
308475643,5201,traffic_signals,,POINT (114.1579941 22.3371662)
308475646,5201,traffic_signals,,POINT (114.1590241 22.3363741)
308726596,5206,motorway_junction,,POINT (114.2618674 22.3147149)
308768230,5206,motorway_junction,,POINT (114.2580351 22.3174056)
308768853,5204,crossing,,POINT (114.2587987 22.3172526)
308768858,5204,crossing,,POINT (114.2585797 22.3186453)
308768949,5204,crossing,,POINT (114.2510454 22.325988)
308769138,5204,crossing,,POINT (114.256406 22.3238538)
308769190,5204,crossing,,POINT (114.258826 22.325941)
308769659,5207,turning_circle,,POINT (114.2603715 22.3236288)
308769832,5207,turning_circle,,POINT (114.2541181 22.3245222)
308778513,5201,traffic_signals,,POINT (114.1697644 22.307413)
308861948,5202,mini_roundabout,,POINT (114.251897 22.3228938)
308862390,5201,traffic_signals,,POINT (114.2498443 22.3224632)
308913178,5207,turning_circle,,POINT (114.2627747 22.3149487)
308914064,5207,turning_circle,,POINT (114.2654654 22.3140192)
309027860,5207,turning_circle,,POINT (114.2661342 22.3220692)
310550177,5204,crossing,,POINT (114.267038 22.306332)
310550309,5201,traffic_signals,,POINT (114.2680717 22.307049)
310556701,5207,turning_circle,,POINT (114.2720329 22.2899316)
316409536,5202,mini_roundabout,,POINT (114.0141762 22.3007292)
316731223,5206,motorway_junction,,POINT (114.208614 22.4055585)
316731511,5206,motorway_junction,,POINT (114.1789099 22.3350933)
