STREET_NAME_EN,STREET_NAME_TC,STREET_CODE,STREET_CENTRELINE_ID
KIN FAT STREET,建發街,10998,1810256885
FO TAN ROAD,火炭路,10498,1810256898
HING CHOI STREET,興才街,10716,1810257235
SAI KUNG SAI WAN ROAD,西貢西灣路,11841,1810257237
SHAN TONG ROAD,山塘路,13524,1810253281
WONG YI AU ROAD,黃宜坳路,14192,1810253283
WONG YI AU ROAD,黃宜坳路,14192,1810253299
WONG YI AU ROAD,黃宜坳路,14192,1810253300
TAT WAN ROAD,達運道,12956,1810253910
LEK YUEN STREET,瀝源街,11216,1810257838
SIU HING LANE,兆興里,13513,1810257847
LEK YUEN STREET,瀝源街,11216,1810257855
WAN TAU STREET,運頭街,12645,1810252616
FUK LOK PATH,福樂徑,13131,1810252622
CHUN YIN SQUARE,俊賢坊,10287,1810252636
NAM PIN WAI 2ND LANE,南邊圍二里,39235,1810252644
WAN TAU STREET,運頭街,12645,1810252652
SHA TAU KOK ROAD - MA MEI HA,沙頭角公路 － 馬尾下段,11959,1810248388
SHAN HA ROAD,山下路,11977,1810253401
AVENUE DE VERSAILLES,凡爾賽大道,39460,1810253411
FUNG CHEUNG ROAD,鳳翔路,10566,1810253416
SHAN TONG ROAD,山塘路,13524,1810254066
LYCHEE ROAD WEST,荔枝西路,11334,1810249889
PINACEAE DRIVE,翠松路,39267,1810249908
WO HING ROAD,和興路,13163,1810249926
TUEN FU ROAD,屯富路,13724,1810256016
SAN FUK ROAD,新福路,12995,1810256025
TUNG LOK STREET,同樂街,12527,1810252909
PAN CHUNG ROAD,泮涌路,13088,1810252943
MAN KAM TO ROAD,文錦渡路,11373,1810248044
MAN KAM TO ROAD,文錦渡路,11373,1810248051
TIN HA ROAD,田廈路,12359,1810253651
TAT WAN ROAD,達運道,12956,1810253653
ON KUI STREET,安居街,11584,1810249433
HONG PO ROAD,康寶路,13549,1810255610
SEA BANK ROAD,海旁路,39503,1810255615
DAI SHUN STREET,大順街,10362,1810251509
DAI FU STREET,大富街,10355,1810251510
HANG TAI ROAD,恆泰路,13999,1810256247
FO TAN ROAD,火炭路,10498,1810256802
TUNG TSZ ROAD,洞梓路,12545,1810250890
TUNG TSZ ROAD,洞梓路,12545,1810250899
KAM SHEUNG ROAD,錦上路,10959,1810253920
TIN HA ROAD,田廈路,12359,1810253928
KAM SHEUNG ROAD,錦上路,10959,1810253946
LUNG MUN ROAD,龍門路,11316,1810257863
WONG YI AU ROAD,黃宜坳路,14192,1810253304
KAM TAI ROAD,錦泰路,13981,1810253314
KAM TAI ROAD,錦泰路,13981,1810253321
FUNG WAN ROAD,豐運路,13713,1810253323
WONG YI AU ROAD,黃宜坳路,14192,1810253329
WONG YI AU ROAD,黃宜坳路,14192,1810253333
SHA TAU KOK ROAD - MA MEI HA,沙頭角公路 － 馬尾下段,11959,1810248422
CHUK WAN STREET,祝運街,13181,1810248424
SHA TAU KOK ROAD - MA MEI HA,沙頭角公路 － 馬尾下段,11959,1810248438
KAM SHEUNG ROAD,錦上路,10959,1810254483
KAM SHEUNG ROAD,錦上路,10959,1810255036
KAM SHEUNG ROAD,錦上路,10959,1810255041
ON KUI STREET,安居街,11584,1810249556
LOK YIP ROAD,樂業路,11273,1810249557
HANG TAI ROAD,恆泰路,13999,1810255731
TUNG TSZ ROAD,洞梓路,12545,1810250936
TUNG TSZ ROAD,洞梓路,12545,1810250938
TUNG TSZ ROAD,洞梓路,12545,1810250946
TUNG LEUNG ROAD,棟樑路,13563,1810251634
TUNG LEUNG ROAD,棟樑路,13563,1810251636
